file,label,F1_dwt_energy,F2_std,F2_max,F2_gradmax,F3_auc,F3_mean,F3_fft_max_mag,F4_time_to_peak,F5_gradmax,F5_max,F6_dwt_energy,F6_kurtosis,F6_max,F7_std,F8_skew,F8_kurtosis,F9_time_to_peak,F9_median,F9_skew,F10_skew,F10_skew,F10_kurtosis,F10_kurtosis,F10_mean
A_01_1030crop.csv,A,0.2640105550523532,28.272810721056047,83.25,6.875000000000085,43.445833333333326,2.174129353233831,437.0,21.2,112.50000000000044,583.625,0.5262799350963282,0.1102590300566443,403.5,3.5909542355375,-1.2707882251900566,-0.0848508839901827,25.5,1392.25,-1.1079574054501082,-1.5814740209605107,-1.5814740209605107,0.8887196823588188,0.8887196823588188,1581.8308457711444
A_02_1030crop.csv,A,0.2464537417555137,29.653186514727484,86.25,6.875000000000057,39.3125,1.9645522388059704,394.875,20.9,134.37500000000057,610.375,0.6145492277876937,0.3414471620213399,416.625,3.77424507261672,-1.3447757512942018,0.1006402787798133,25.0,1359.625,-1.1502839066043835,-1.6636962783245115,-1.6636962783245115,1.1590806444089117,1.1590806444089117,1549.8712686567164
A_03_1030crop.csv,A,0.5682271443597168,61.83142671416511,181.0,13.750000000000057,72.55833333333332,3.627487562189055,729.125,20.4,234.3750000000009,963.875,1.2089898885334802,0.5196443148140752,626.875,6.413390628557676,-1.66003261607563,1.041859448677091,23.2,1697.0,-1.4294052891494216,-1.9378417656631648,-1.9378417656631648,2.1668507278117968,2.1668507278117968,1886.7916666666667
A_04_1030crop.csv,A,0.2840116202600476,31.5857360787946,94.5,7.500000000000085,42.29999999999998,2.1181592039800994,425.75,20.9,127.50000000000044,622.625,0.7948955114567434,0.2241239055512114,420.875,3.8196719916647055,-1.3535567462856375,0.1266983357232667,24.5,1423.125,-1.188213290744632,-1.6633086268122743,-1.6633086268122743,1.167699687037679,1.167699687037679,1621.2966417910447
A_05_1030crop.csv,A,0.2488593038998311,26.302871202267674,79.125,6.250000000000028,51.85416666666667,2.5907960199004973,520.75,21.5,108.12500000000034,556.875,0.5458854737004614,0.0803173794658986,382.625,2.966851246549196,-1.2689147985235016,-0.0819468042443332,25.1,1364.0,-1.1211168727453689,-1.5911018215442418,-1.5911018215442418,0.934041026691682,0.934041026691682,1560.4968905472638
A_06_1030crop.csv,A,0.261677991454135,26.826039858244577,78.5,6.875,30.433333333333334,1.5230099502487562,306.125,20.9,110.62499999999956,552.0,0.6138627119870531,0.1549736420041005,385.125,3.529343205020628,-1.3030005038325552,-0.0014516908264496,24.7,1345.375,-1.1595555136952402,-1.6248359697069557,-1.6248359697069557,1.0359991894515952,1.0359991894515952,1530.7369402985075
A_07_1030crop.csv,A,0.2490344706609129,35.80454777428085,105.375,8.125000000000057,29.262500000000003,1.4645522388059702,294.375,21.2,137.50000000000043,674.625,0.830520448043008,0.1561474098965787,454.875,4.728843044753893,-1.378569467665676,0.1933717551896929,24.9,1518.125,-1.2325781987135602,-1.6814463529525396,-1.6814463529525396,1.2172886359942998,1.2172886359942998,1694.6100746268658
A_08_1030crop.csv,A,0.2351235809415366,32.61648690987992,97.125,7.500000000000057,54.56666666666668,2.72636815920398,548.0,20.9,132.50000000000043,637.75,0.632254200583703,0.2145604255705926,429.0,4.102448050907626,-1.3634982088570764,0.1574738395271127,24.8,1462.0,-1.1790996305500268,-1.6631886705758423,-1.6631886705758423,1.1693870911685744,1.1693870911685744,1647.365671641791
A_09_1030crop.csv,A,0.2646135817739862,27.76039262371048,81.0,6.250000000000057,29.27083333333333,1.4639303482587065,294.25,21.0,111.87500000000034,570.0,0.6235386963839661,0.1876506502578685,393.0,3.592368711771224,-1.3012021492703238,-0.0048398123677673,25.0,1382.5,-1.1592224151284811,-1.6207016686628952,-1.6207016686628952,1.018880152066071,1.018880152066071,1581.6797263681592
A_10_1030crop.csv,A,0.2775152316526547,36.51532790089469,106.75,8.125000000000057,33.96666666666666,1.6983830845771144,341.375,20.8,135.62500000000043,688.625,0.4396959821021968,0.2471703152437716,467.25,4.230867058995039,-1.4445882622300346,0.3928512089084437,24.2,1411.125,-1.2533464396940026,-1.7304634215935717,-1.7304634215935717,1.4110271442313582,1.4110271442313582,1624.749378109453
A_11_1030crop.csv,A,0.7900997309861815,59.63928115548013,170.75,14.375000000000114,25.13333333333333,1.2587064676616917,253.0,19.0,270.6250000000009,1016.125,1.3985116854808708,0.3930010318779886,666.625,6.752836128056261,-1.7504573529957232,1.3472877279486903,21.3,1742.5,-1.589187396565552,-2.016671844164561,-2.016671844164561,2.516652481250004,2.516652481250004,1913.3662935323384
A_12_1030crop.csv,A,0.2485877864762888,34.33168715607852,101.0,8.125000000000057,49.47916666666666,2.4732587064676617,497.125,21.3,125.62500000000044,654.25,0.4811169891725424,0.2413792760294715,461.875,4.76116096946262,-1.3595808199165136,0.1520135752378588,25.0,1451.375,-1.1956478365167351,-1.6698221371870898,-1.6698221371870898,1.2010812344252022,1.2010812344252022,1684.311567164179
A_13_1030crop.csv,A,0.3940352118183773,49.1046522308715,143.75,11.250000000000057,36.425,1.824004975124378,366.625,20.6,176.25000000000068,816.75,0.8299990090483926,0.3953598029800895,551.5,5.987701641283249,-1.5353557759675465,0.6432469647958388,23.8,1612.25,-1.3932631347481246,-1.865167136316224,-1.865167136316224,1.891156768312752,1.891156768312752,1819.9216417910447
A_14_1030crop.csv,A,0.2435551149123468,23.03762911013121,67.875,5.000000000000028,28.25416666666667,1.4129353233830846,284.0,21.7,87.49999999999955,474.0,0.5071076498880372,0.0018535984201575,343.75,3.413362166532994,-1.1389190088451075,-0.3977289045533108,25.7,1243.75,-1.0568730132047963,-1.5382804248172597,-1.5382804248172597,0.7543329288284895,0.7543329288284895,1488.1996268656717
A_15_1030crop.csv,A,0.3230101879733672,45.442693907680464,132.0,10.000000000000083,29.44166666666667,1.4738805970149254,296.25,20.5,168.12500000000068,779.75,0.8424793552341712,0.3504818758076715,528.375,5.494302855208823,-1.5154526162654345,0.5831968009802964,23.6,1582.375,-1.376704818707225,-1.843417265499829,-1.843417265499829,1.8015801475488689,1.8015801475488689,1800.2537313432836
