Model,Dataset,Accuracy,Precision,Recall,ROC AUC
SVM Linear,All Features (Model I),0.8285714285714286,0.8285714285714286,0.8285714285714286,0.8653061224489795
SVM RBF,All Features (Model I),0.8285714285714286,0.8285714285714286,0.8285714285714286,0.8604081632653061
SVM Linear,Selected Features (Model II),0.8285714285714286,0.8285714285714286,0.8285714285714286,0.8693877551020407
SVM RBF,Selected Features (Model II),0.8285714285714286,0.8285714285714286,0.8285714285714286,0.8620408163265306
