file,label,F1_auc,F1_gradmax,F2_auc,F2_gradmax,F3_auc,F3_gradmax,F4_auc,F4_gradmax,F5_auc,F5_gradmax,F6_auc,F6_gradmax,F7_auc,F7_gradmax,F8_auc,F8_gradmax,F9_auc,F9_gradmax,F10_auc,F10_gradmax
A_01_1030crop.csv,A,11791.445833333331,101.25000000000045,780.7916666666667,6.875000000000085,43.445833333333326,1.2500000000000044,22085.62083333333,367.50000000000136,8140.0666666666675,112.50000000000045,5821.691666666667,82.50000000000034,151.0166666666667,2.500000000000007,35767.5375,621.8750000000018,21754.029166666667,288.75000000000114,31701.1375,643.1250000000023
A_02_1030crop.csv,A,12127.070833333335,106.87500000000045,805.6291666666667,6.875000000000057,39.3125,0.6250000000000284,21314.225000000006,402.4999999999977,8638.208333333332,134.37500000000057,6077.724999999999,95.62500000000034,160.46250000000003,2.500000000000007,34276.6125,657.5000000000027,21123.266666666666,305.6249999999984,31063.337499999998,688.1250000000027
A_03_1030crop.csv,A,18225.662500000002,181.8750000000009,1700.658333333333,13.750000000000057,72.55833333333332,1.25,27363.329166666666,590.0000000000023,13892.987500000001,234.3750000000009,9233.566666666666,156.87500000000068,270.06666666666666,3.125000000000014,40978.87499999999,998.7499999999936,27182.00833333333,472.5000000000018,37816.291666666664,1003.1250000000032
A_04_1030crop.csv,A,12735.249999999996,112.50000000000045,924.7791666666666,7.500000000000085,42.29999999999998,1.250000000000007,22911.97916666666,410.6249999999982,8609.079166666668,127.50000000000045,6022.437499999999,93.74999999999955,154.575,2.5000000000000107,36671.7875,688.7499999999964,22256.166666666668,314.37500000000136,32494.104166666668,693.1250000000023
A_05_1030crop.csv,A,11501.979166666664,98.12500000000045,763.7041666666667,6.250000000000028,51.85416666666667,1.2499999999999822,21544.116666666665,364.9999999999977,7653.512499999999,108.12500000000034,5328.654166666667,80.00000000000034,67.49166666666669,2.500000000000057,35286.69583333334,604.3750000000018,21357.50833333333,285.62500000000114,31274.391666666666,627.5000000000023
A_06_1030crop.csv,A,11401.279166666665,98.12500000000045,760.5124999999999,6.875,30.433333333333334,0.6250000000000249,21103.574999999997,368.1249999999982,7548.945833333334,110.62499999999955,5516.5041666666675,81.87500000000034,147.99583333333337,2.5000000000000107,34654.65416666667,620.0000000000018,21010.504166666662,287.50000000000114,30680.129166666666,633.7500000000023
A_07_1030crop.csv,A,13698.450000000003,121.87500000000068,1001.9125000000001,8.125000000000057,29.262500000000003,1.2500000000000053,23636.1,433.7499999999977,9406.420833333334,137.50000000000045,6562.162499999999,103.12500000000034,146.77499999999998,3.1250000000000107,37658.875,727.4999999999964,23887.624999999996,341.2500000000009,33962.662500000006,755.0000000000023
A_08_1030crop.csv,A,12930.291666666666,113.75000000000023,946.8499999999998,7.500000000000057,54.56666666666668,1.2500000000000044,22984.633333333335,403.75000000000136,8885.433333333332,132.50000000000045,6186.275,92.50000000000023,171.425,2.5000000000000107,36925.77916666666,685.6249999999964,22928.091666666664,313.1250000000009,33015.73333333333,693.7500000000027
A_09_1030crop.csv,A,11573.845833333335,100.00000000000045,779.2791666666666,6.250000000000057,29.270833333333332,1.2499999999999822,22188.683333333334,385.00000000000136,7878.845833333333,111.87500000000034,5663.491666666667,83.75000000000034,150.575,2.500000000000009,35559.39166666667,638.1250000000027,21674.545833333337,293.12500000000114,31699.6125,655.6250000000027
A_10_1030crop.csv,A,13460.8125,120.00000000000045,1019.5041666666666,8.125000000000057,33.96666666666666,1.2500000000000036,22589.68333333333,411.2500000000018,9606.0,135.62500000000045,6787.7625,101.25000000000034,179.9083333333333,2.499999999999986,34984.44166666668,683.7500000000027,22189.070833333335,321.8749999999984,32562.800000000003,718.7499999999959
A_11_1030crop.csv,A,17846.904166666664,189.9999999999991,1753.0041666666666,14.375000000000114,25.13333333333333,1.2500000000000044,26873.31666666667,638.1250000000023,13831.5625,270.6250000000009,9377.854166666666,185.00000000000068,303.59999999999997,4.375000000000018,39900.97916666667,1073.7500000000045,28883.166666666664,561.8750000000023,38353.61666666667,1053.1250000000032
A_12_1030crop.csv,A,12993.291666666666,112.50000000000045,921.2458333333334,8.125000000000057,49.479166666666664,1.2499999999999822,23244.712500000005,415.0000000000018,9226.979166666666,125.62500000000045,6775.2958333333345,96.87500000000034,203.00416666666663,3.1250000000000107,35613.754166666666,664.9999999999973,22826.11666666666,319.37500000000136,33755.5125,722.4999999999964
A_13_1030crop.csv,A,15975.383333333331,150.62500000000045,1337.658333333333,11.250000000000057,36.425,1.2500000000000053,25786.583333333336,530.6249999999973,11549.408333333335,176.25000000000068,8113.883333333333,128.12499999999932,248.40833333333333,3.7499999999999822,39171.60833333332,875.6250000000036,25648.658333333333,408.12500000000136,36476.09166666667,918.1250000000032
A_14_1030crop.csv,A,9762.558333333334,82.50000000000023,625.6333333333332,5.000000000000028,28.25416666666667,1.2500000000000044,20276.383333333328,318.1250000000009,6547.1,87.49999999999955,4953.104166666667,65.62500000000023,148.60416666666669,2.500000000000009,33206.95416666666,522.4999999999973,19531.1625,241.87499999999864,29825.300000000003,575.6250000000023
A_15_1030crop.csv,A,15543.316666666668,147.4999999999991,1245.6083333333333,10.000000000000085,29.44166666666667,1.2500000000000044,25213.975000000002,514.3750000000018,10954.770833333336,168.12500000000068,7717.566666666666,121.25000000000045,235.77083333333334,3.750000000000014,38738.92083333334,845.6250000000036,25130.708333333332,403.7499999999982,36082.2625,905.6250000000036
A_16_1030crop.csv,A,19673.749999999996,212.5000000000009,2238.2875000000004,18.125000000000114,55.387499999999996,1.2500000000000044,28447.970833333333,681.8750000000023,15432.116666666667,262.5000000000009,10361.437499999998,183.75000000000068,352.9416666666667,4.375000000000016,41393.49166666667,1136.2500000000036,28379.87083333333,560.6250000000018,39383.375,1194.9999999999936
A_17_1030crop.csv,A,16559.0,162.50000000000045,1502.1333333333332,11.875000000000114,36.60416666666667,0.6250000000000284,25474.033333333336,558.1250000000023,12033.224999999999,198.12500000000068,8290.754166666668,140.62499999999932,265.0374999999999,4.374999999999989,39122.191666666666,938.7499999999955,25072.3,432.50000000000136,36448.004166666666,953.7500000000032
A_18_1030crop.csv,A,11822.879166666668,103.75000000000023,835.7833333333334,6.875000000000057,39.02916666666667,1.2500000000000044,21740.087499999994,383.12500000000136,7991.4625,116.24999999999932,5784.858333333333,84.37500000000034,159.53333333333336,3.1249999999999964,35182.85833333334,636.2500000000027,21318.416666666664,294.37499999999864,32197.566666666666,676.2499999999964
A_19_1030crop.csv,A,16405.141666666666,162.4999999999991,1462.4916666666668,11.875000000000114,46.24583333333333,1.2499999999999933,25872.5125,551.8750000000018,11842.483333333335,190.62500000000068,8156.908333333333,134.37500000000045,242.2625,3.750000000000014,39733.75833333333,892.5000000000036,26022.199999999997,437.4999999999975,37108.1625,966.2500000000036
A_20_1030crop.csv,A,21990.38333333334,258.7500000000009,2956.1625,23.750000000000114,69.47083333333333,1.250000000000007,30325.024999999998,794.9999999999959,17834.445833333328,336.87500000000136,11813.620833333334,224.37500000000068,423.04166666666663,4.9999999999999964,43509.33749999999,1340.6250000000045,30370.216666666667,673.1250000000023,40822.6125,1314.3750000000045
A_21_1030crop.csv,A,16010.220833333331,155.6250000000009,1340.8083333333332,11.250000000000057,35.68750000000001,1.2500000000000036,25249.083333333332,521.8749999999968,11498.0375,180.00000000000068,7721.904166666666,123.12499999999932,244.4375,3.750000000000014,39641.45416666667,885.0000000000036,25232.254166666666,410.6250000000018,36035.07499999999,887.5000000000036
A_22_1030crop.csv,A,21805.545833333334,274.37499999999864,2966.166666666667,23.750000000000114,51.98750000000001,2.4999999999999645,29774.025000000005,840.6249999999959,18222.425,416.25000000000136,11991.137499999999,271.8750000000009,441.37083333333334,6.249999999999968,42923.85000000001,1433.1249999999927,31111.1125,710.0000000000023,40951.112499999996,1261.2500000000045
A_23_1030crop.csv,A,14254.008333333333,132.5000000000009,1079.3291666666664,8.750000000000085,29.425,0.6250000000000284,23851.024999999998,461.2500000000018,9944.725,147.50000000000045,6726.220833333333,102.50000000000034,205.40833333333336,3.1250000000000213,38357.575000000004,772.4999999999955,24114.583333333336,365.00000000000136,34577.65833333333,781.2499999999955
A_24_1030crop.csv,A,13987.283333333333,126.87500000000091,1040.2458333333334,8.750000000000028,21.65,1.2500000000000044,23667.358333333334,449.3750000000018,9897.437499999998,142.50000000000045,6333.575,95.62500000000023,5.766666666666666,2.4999999999999645,38126.99166666667,754.9999999999964,23923.75833333333,350.6249999999982,34928.770833333336,774.3749999999959
A_25_1030crop.csv,A,16370.766666666665,156.25000000000045,1420.8541666666667,11.250000000000057,47.69583333333334,0.6250000000000284,25666.020833333332,531.8749999999973,12088.708333333334,191.25000000000068,8915.983333333335,133.1249999999991,463.59583333333336,4.999999999999957,39984.4625,899.9999999999945,25935.05,427.50000000000136,36911.662500000006,940.6250000000032
A_26_1030crop.csv,A,19046.5375,198.75000000000045,1996.1791666666666,15.625,68.32083333333334,1.2499999999999858,27603.712499999998,640.6250000000023,14760.8875,251.87500000000068,9523.324999999999,170.00000000000068,317.37499999999994,4.375000000000014,41664.45416666667,1112.5000000000045,28132.716666666667,545.6250000000023,38923.63333333333,1136.2499999999936
A_27_1030crop.csv,A,13660.454166666666,122.49999999999955,1083.5416666666665,8.750000000000028,59.57500000000001,0.6250000000000249,22930.187499999996,434.37500000000136,9764.508333333331,148.74999999999932,6468.620833333334,101.25000000000045,216.9083333333333,3.750000000000014,37565.987499999996,750.0000000000018,23566.591666666667,357.50000000000136,34098.683333333334,809.3750000000023
A_28_1030crop.csv,A,14286.583333333332,129.37500000000045,1139.933333333333,8.750000000000114,23.662499999999998,0.6250000000000249,24101.02083333333,471.87499999999727,10608.641666666666,163.12500000000068,6884.004166666667,111.87500000000045,172.81666666666666,3.750000000000014,38549.862499999996,794.9999999999955,24516.666666666668,371.24999999999795,35468.37916666666,843.7500000000027
A_29_1030crop.csv,A,12177.28333333333,110.00000000000023,862.3583333333333,7.500000000000028,28.37083333333333,1.2500000000000044,22569.3375,414.3750000000018,9192.420833333334,138.12500000000045,6559.950000000001,100.00000000000034,177.70416666666668,3.124999999999993,34480.44583333334,670.0000000000027,23132.204166666666,334.9999999999982,32647.42083333333,734.3749999999964
A_30_1030crop.csv,A,15213.383333333335,145.00000000000045,1216.9250000000002,10.000000000000057,23.94166666666667,1.2500000000000044,25146.308333333334,533.7499999999973,11406.725,201.25000000000068,7730.329166666667,138.7499999999992,214.08333333333334,3.750000000000014,38726.57083333334,889.3750000000027,26604.516666666663,451.25000000000136,35895.1,895.6250000000032
A_31_1030crop.csv,A,19519.029166666664,212.50000000000045,2170.045833333333,16.875000000000114,51.987500000000004,1.2500000000000044,27540.55416666667,703.1249999999964,15922.729166666668,306.24999999999864,10406.520833333334,216.8750000000009,332.29166666666663,4.375000000000014,40361.1625,1177.5000000000045,28246.34583333333,579.3749999999968,37593.25833333333,1075.000000000004
