file,label,F1_fft_max_mag,F1_dwt_energy,F2_fft_max_mag,F2_dwt_energy,F3_fft_max_mag,F3_dwt_energy,F4_fft_max_mag,F4_dwt_energy,F5_fft_max_mag,F5_dwt_energy,F6_fft_max_mag,F6_dwt_energy,F7_fft_max_mag,F7_dwt_energy,F8_fft_max_mag,F8_dwt_energy,F9_fft_max_mag,F9_dwt_energy,F10_fft_max_mag,F10_dwt_energy
A_01_1030crop.csv,A,118431.0,0.2640105550523532,7850.5,0.3239871358439105,437.0,0.15303849524143498,221514.0,1.805899042348471,81596.625,0.956300648614766,58367.5,0.5262799350963282,1515.875,0.329392519800619,358817.625,1.4397674801614446,218271.75,0.5016159276985122,317948.0,2.6775220696546675
A_02_1030crop.csv,A,121782.5,0.24645374175551377,8099.5,0.24419936431632208,394.875,0.14742677430445386,213749.25,1.9416690631612141,86581.75,1.364775362325894,60928.125,0.6145492277876937,1610.0,0.4915918359913536,343831.125,1.6662942914628196,211928.875,0.6155225605105212,311524.125,2.4182849126454347
A_03_1030crop.csv,A,182937.625,0.5682271443597168,17097.75,0.28315865365791953,729.125,0.13934803720805763,274420.0,2.6975805544347837,139255.125,3.2067359349679814,92560.875,1.2089898885334802,2710.25,0.4620313389370936,411015.75,2.106690540713434,272670.375,0.9307100205244853,379245.125,3.257266511603576
A_04_1030crop.csv,A,127889.125,0.28401162026004767,9297.0,0.20887732044476215,425.75,0.1764152272968049,229784.625,2.4261601905685826,86284.875,1.8378335314667502,60367.5,0.7948955114567434,1550.75,0.3743244336194016,367862.875,1.9250748390747352,223291.375,0.8320325700573625,325880.625,2.8890922812350324
A_05_1030crop.csv,A,115525.0,0.24885930389983116,7677.625,0.2498802170798916,520.75,0.19351696182578812,216080.5,2.239849085404958,76719.875,1.181551223986058,53411.25,0.5458854737004614,674.25,0.46625852448473454,353991.375,1.642106286900168,214289.125,0.6921875192677596,313659.875,2.7024012926958765
A_06_1030crop.csv,A,114505.875,0.26167799145413506,7645.125,0.25263701894098056,306.125,0.13342746239535827,211648.625,2.5503820381682405,75662.25,1.323173775911046,55299.0,0.6138627119870531,1485.75,0.594035403286709,347634.125,2.120398422655969,210795.875,0.661377940354795,307678.125,3.2470121741599183
A_07_1030crop.csv,A,137557.25,0.2490344706609129,10072.625,0.2523607485991386,294.375,0.17096064899636304,237057.25,1.9131439342373562,94292.25,1.5521373801840266,65788.125,0.830520448043008,1473.375,0.5840255309008168,377763.75,1.4265607972594616,239654.375,0.7669357094566966,340616.625,2.050869357971797
A_08_1030crop.csv,A,129849.5,0.23512358094153663,9518.125,0.2930473944804489,548.0,0.16579321302632535,230519.0,2.2588000258968113,89058.5,1.3798906791539989,62013.5,0.632254200583703,1720.5,0.5069949643812124,370415.75,1.8542649452085231,230038.5,0.9404242369615012,331120.5,2.206973793919259
A_09_1030crop.csv,A,116240.0,0.2646135817739862,7833.75,0.2995118733960886,294.25,0.2144503658152337,222533.875,2.0398637033723586,78975.0,1.370235597058364,56776.625,0.6235386963839661,1510.875,0.5999179958240308,356715.75,1.6661007891859116,217462.25,0.6581193363825136,317917.625,2.57141584098372
A_10_1030crop.csv,A,135164.125,0.2775152316526547,10249.25,0.31914894934694094,341.375,0.17301206152871831,226557.75,2.0344110245402347,96293.875,1.7886062476087048,68049.25,0.43969598210219685,1805.75,0.4214487529024987,350928.5,1.3975362453969313,222610.375,0.8151510133167184,326574.625,2.1202812877842883
A_11_1030crop.csv,A,179108.25,0.7900997309861815,17616.0,0.29735834575814446,253.0,0.1688143265329779,269459.75,3.3266195123079334,138585.625,3.6485566549147412,93973.25,1.3985116854808708,3045.25,0.6397151018079712,400169.375,2.5403426056806726,289692.375,1.5863612851644349,384586.625,4.726154550416435
A_12_1030crop.csv,A,130487.75,0.2485877864762888,9263.25,0.29906030158259134,497.125,0.1687461887047453,233129.875,1.6756295242906012,92499.875,1.5180460733147452,67930.125,0.4811169891725424,2037.25,0.7689857721743174,357253.625,1.3690596667849095,229011.875,0.6744885032509212,338546.625,2.0852290260513593
A_13_1030crop.csv,A,160387.625,0.3940352118183773,13448.5,0.31549489916083023,366.625,0.17910988454142812,258606.75,1.7902253305908111,115778.375,2.170775165884424,81343.125,0.8299990090483926,2493.125,0.6307212629207493,392904.125,1.5520810469533033,257291.875,0.6831035361362416,365804.25,2.315118750808409
A_14_1030crop.csv,A,98073.875,0.24355511491234683,6290.625,0.2218861208675592,284.0,0.14517265059691753,203377.125,1.9864295805585999,65632.75,1.0426636123020434,49661.0,0.5071076498880372,1490.875,0.6615295469051261,333157.0,1.7163887052601985,195975.625,0.7083772825533304,299128.125,3.0140856695518075
A_15_1030crop.csv,A,156047.25,0.3230101879733672,12522.375,0.26944442654646666,296.25,0.1827470043881503,252861.375,2.340194293026004,109808.25,2.3662876622586224,77367.75,0.8424793552341712,2366.0,0.712386883349253,388564.25,1.8687172003530244,252097.75,0.7440690629194513,361851.0,3.0647555029413382
A_16_1030crop.csv,A,197441.0,0.7098232673333507,22501.75,0.37322194797641545,557.25,0.20768014165583706,285277.75,2.170616420045053,154685.0,3.9071005140537234,103861.875,1.3724329730882538,3541.875,0.8161792330864892,415146.375,2.439459353939258,284649.75,1.1582533144713514,394934.375,5.40246882268683
A_17_1030crop.csv,A,166221.875,0.2826974688343252,15100.375,0.31765407876352336,367.625,0.1428440796016679,255458.875,1.8066455842227933,120619.875,2.205127352927026,83112.875,0.5578327121468644,2658.75,0.9300402993959365,392390.375,1.6929879639050116,251496.5,0.7313398257687388,365510.125,2.6519048957084888
