file,label,F1_mean,F1_max,F1_median,F1_std,F1_skew,F1_kurtosis,F2_mean,F2_max,F2_median,F2_std,F2_skew,F2_kurtosis,F3_mean,F3_max,F3_median,F3_std,F3_skew,F3_kurtosis,F4_mean,F4_max,F4_median,F4_std,F4_skew,F4_kurtosis,F5_mean,F5_max,F5_median,F5_std,F5_skew,F5_kurtosis,F6_mean,F6_max,F6_median,F6_std,F6_skew,F6_kurtosis,F7_mean,F7_max,F7_median,F7_std,F7_skew,F7_kurtosis,F8_mean,F8_max,F8_median,F8_std,F8_skew,F8_kurtosis,F9_mean,F9_max,F9_median,F9_std,F9_skew,F9_kurtosis,F10_mean,F10_max,F10_median,F10_std,F10_skew,F10_kurtosis
A_29_1030crop.csv,A,608.3799751243781,1020.25,728.375,376.764917823253,-0.4329524600849011,-1.388213336670884,43.12189054726368,87.375,45.125,29.85218153162303,-0.06835991356833178,-1.457611519051882,1.4247512437810945,4.5,1.25,1.761338516854771,0.18237160282104917,-1.4223797575271555,1126.0068407960198,1474.25,1358.375,490.4258797853944,-1.4493016160216055,0.47743718736810736,458.38432835820896,663.375,527.75,210.09265640555816,-1.105767110926895,-0.08518458304657894,327.15796019900495,452.75,378.25,140.49093886901363,-1.2996168819390523,0.34618117372415336,8.870646766169154,12.5,10.75,4.086524886911282,-1.0213596627750676,-0.39964154385887296,1720.6753731343283,2215.5,2139.625,773.7325854801619,-1.4220355531787139,0.3203569728619762,1154.527985074627,1522.875,1472.5,525.0149339653223,-1.2762087549373624,0.03579359400614335,1628.835199004975,2025.125,1926.25,638.2342476579759,-1.7403341210104777,1.447908686623414
A_30_1030crop.csv,A,759.8171641791045,1186.375,951.375,441.61819989840814,-0.6021447427346657,-1.2374223565850737,60.842039800995025,119.25,64.625,41.26900382472278,-0.11563804054145353,-1.468101852497264,1.2008706467661692,3.375,1.25,1.4580032564111618,-0.06343371616571573,-1.5324586483510692,1254.467039800995,1615.0,1486.625,520.9275568769132,-1.5807809449800907,0.8969047650510831,568.6728855721393,832.0,645.25,259.79955789937037,-1.0780441447421736,-0.024609385034141784,385.43283582089555,544.375,437.875,167.63164472245725,-1.2575683350577154,0.3806814884947256,10.68407960199005,14.875,13.375,4.978733532305513,-1.1212998587156344,-0.18801078307775443,1932.4160447761194,2429.625,2349.375,826.2764566597864,-1.5790442688537716,0.7786014913982111,1327.669776119403,1713.125,1648.25,579.6113046475186,-1.421868779542251,0.4156697728856287,1790.7767412935323,2195.25,2092.0,675.2454124652944,-1.8552614818128894,1.867964614545384
A_31_1030crop.csv,A,974.5230099502487,1405.75,1275.0,515.024990502219,-0.8530737690292499,-0.901102988563915,108.50746268656717,217.5,113.75,74.84117058781935,-0.08059795199494765,-1.4602062179483195,2.601990049751244,6.0,2.75,2.3841664730142633,-0.028280845195653753,-1.5539005849074385,1373.9291044776119,1698.25,1598.125,523.4077681905219,-1.8396182800530902,1.783271265171103,793.9116915422885,1107.5,906.25,341.74868998773456,-1.3228316123306716,0.5185491324920268,518.8886815920398,710.5,587.875,213.912485809506,-1.4469628748038479,0.9112480747679199,16.58768656716418,23.5,20.125,7.844186188602445,-0.9912251856138826,-0.42691112046177393,2013.8687810945273,2436.0,2381.0,790.437642269804,-1.8399407041505793,1.6624765326936144,1409.4589552238806,1747.625,1697.125,567.8590719132102,-1.6782106417869957,1.2125615313845604,1875.476368159204,2217.25,2151.0,650.8929535913104,-2.139802710650866,3.0302880372749534
A_32_1030crop.csv,A,1025.3905472636816,1448.625,1350.5,524.7701658645824,-0.931384304596206,-0.7686024723631779,123.44465174129353,242.75,130.625,83.66573859147972,-0.10823705201692992,-1.463823370609109,2.6007462686567164,5.875,2.875,2.4040581756146855,-0.10958834474420466,-1.5927791126564834,1443.5478855721392,1762.75,1657.875,518.1856103413214,-1.9160687870755246,2.097510075456383,833.4720149253732,1168.25,948.5,357.85432669297205,-1.3005224086571956,0.5047892385581374,537.8550995024875,742.0,604.5,220.7038874060882,-1.4128646147927972,0.8999779262411449,18.07773631840796,25.25,22.25,8.414902084378403,-1.0376150836516576,-0.3542170876142494,2124.8949004975125,2541.375,2485.0,797.8484275913191,-1.9119749171890243,1.92848093747648,1469.6753731343283,1801.5,1748.25,570.9915840188743,-1.7495469786356557,1.4458903131359522,1949.846393034826,2280.625,2212.875,640.206381152949,-2.2301110464952134,3.443983091268449
A_33_1030crop.csv,A,681.252487562189,1104.375,830.5,408.98375981184375,-0.5075683708349166,-1.322784834450219,52.04477611940298,104.625,54.5,35.94260017774093,-0.0782532211075494,-1.452500029730276,1.0024875621890548,2.75,1.125,1.2170380532175766,-0.16565553865918736,-1.5250972652670454,1192.5509950248756,1531.625,1419.125,494.1686458488182,-1.5597078877826867,0.8235236377316446,516.7481343283582,742.375,591.875,232.29178088621734,-1.143454831123235,0.040589568100868334,347.1231343283582,479.375,398.5,147.05152458479748,-1.3406062252704156,0.5225568298288996,9.866915422885572,13.875,12.25,4.644013954518455,-1.048526674315177,-0.3398471133865817,1909.2394278606964,2414.375,2343.5,826.5294038184086,-1.5188384994533617,0.6026499645749386,1185.0292288557214,1540.0,1488.75,521.366359884946,-1.3599310894007268,0.265892397654627,1692.5373134328358,2074.625,1987.5,639.7656486604814,-1.81745331040218,1.731943884573652
A_34_1030crop.csv,A,724.6598258706467,1140.75,903.25,425.0397503357974,-0.5778910839088162,-1.2664684279750402,59.8202736318408,115.125,63.75,39.30987316386249,-0.1287030979429015,-1.4634689982442923,1.6784825870646767,3.625,1.75,1.3752884133322885,-0.11326451648720999,-1.5104402531723036,1220.964552238806,1573.875,1442.625,502.80234592725276,-1.5761381388106093,0.8948744408742302,532.6050995024875,786.875,604.25,246.50370307581505,-1.0369230234997342,-0.1052612580359722,356.04415422885575,507.0,402.5,155.83291894093762,-1.2443373063222833,0.39060783029427304,10.639303482587065,14.5,13.375,4.783645959839874,-1.1361911013505692,-0.18418877353357344,1934.577736318408,2442.25,2358.75,833.3963396235822,-1.5499319923363768,0.6847630290089946,1242.7226368159204,1605.625,1544.5,542.4454593465448,-1.4073719751188272,0.3763434945171684,1729.3967661691543,2129.875,2023.375,658.7161638544513,-1.8199633443011778,1.7287567334374758
A_35_1030crop.csv,A,637.4800995024875,1072.0,759.5,396.0822760236686,-0.4247282087878993,-1.3886317183293146,42.041666666666664,91.125,42.0,31.673442912064587,0.040971625676581386,-1.4729759805355613,1.0404228855721394,3.125,1.0,1.306139233309253,0.08943694413703744,-1.518697953556773,1140.0889303482586,1495.25,1391.625,506.00871924082145,-1.4050363959548913,0.328981555483693,457.5068407960199,651.0,528.5,205.57919793349626,-1.1666979258880994,0.04775521611323574,322.6641791044776,445.0,378.125,141.46616534356437,-1.2955745355324975,0.2770556001213831,8.17226368159204,11.625,10.125,3.9281211217816896,-0.9845757084978907,-0.44680219507465013,1812.3202736318408,2353.0,2283.0,832.9080236874507,-1.3616435015855648,0.15373190721125907,1108.532960199005,1497.625,1424.875,529.1148909884693,-1.1677907653861426,-0.23904156801653542,1611.0939054726368,2015.5,1930.25,650.6774974257713,-1.6569964793283098,1.1441243722145442
B_01_1030crop.csv,B,682.905472636816,1116.875,831.875,416.1374294107866,-0.49187734564073393,-1.34204975978707,52.32898009950249,113.75,52.0,39.38615469832009,0.05327731093785098,-1.4728402588837657,1.6884328358208955,4.375,1.625,1.5665243896599315,0.16103010838015674,-1.4461168705399883,916.5292288557214,1196.5,1102.25,397.4911215342233,-1.4874893660424215,0.5892417707780355,504.12935323383084,716.5,589.625,231.175929504282,-1.1784431817023469,0.0069315235435984945,355.9166666666667,489.5,416.125,155.8706406375796,-1.3336072163619046,0.3749946188020017,12.818407960199005,17.625,15.75,5.727308954772671,-1.1693672105909887,-0.031783892017577475,1594.4402985074628,2027.75,1968.875,704.6211669919129,-1.4950305756501219,0.5257005209534205,680.3016169154229,902.125,859.125,311.5182734540121,-1.2842844387683565,0.052074287194284974,1659.4085820895523,2033.375,1961.625,633.989892572966,-1.8074789734974213,1.7125595717869455
B_02_1030crop.csv,B,830.5242537313433,1256.375,1062.75,467.1684137004484,-0.6950258996615412,-1.1331513241196163,81.15671641791045,166.25,84.125,57.3255438463325,-0.043253099102048075,-1.4733297363347948,2.63681592039801,5.875,2.625,2.1166833887250944,0.05327709593416643,-1.5502788219237433,1072.146144278607,1360.625,1261.625,432.0689511328244,-1.6800289211190922,1.2209773224439742,622.8308457711443,891.5,721.625,286.51168841695346,-1.182820232418221,0.05131504523933739,429.4446517412935,591.25,492.875,183.1205343452331,-1.390171583001203,0.6332938420793801,16.987562189054728,22.75,20.75,7.197593280548865,-1.1904029117547028,0.012057849511238228,1762.8992537313434,2166.125,2107.875,714.956951561776,-1.7229712309365366,1.252746741338414,867.2089552238806,1098.625,1052.625,360.7519232364658,-1.5611034789015952,0.8510711798208845,1787.9745024875622,2130.0,2060.5,631.4840416731148,-2.0585692962620477,2.6764112057661773
B_03_1030crop.csv,B,1017.1772388059702,1484.375,1334.875,555.0358028555054,-0.8213738700115385,-0.9653397706355125,135.46766169154228,311.5,127.5,105.12975818589072,0.16666504666171844,-1.4177721646545292,7.996268656716418,13.875,9.0,4.396383606260457,-0.45883969288206133,-1.1087759575573735,1261.2692786069651,1564.5,1520.25,517.9952345180743,-1.679392473304931,1.1542502262022944,930.4496268656717,1213.125,1097.375,386.70309470504986,-1.5449286391594286,0.8665616337275108,603.5497512437811,787.625,716.375,254.03412948406006,-1.5206636754978526,0.7702453967438854,29.376243781094526,45.75,34.25,15.057972498528526,-0.7045446256238095,-0.8498861642835731,1920.8097014925372,2311.5,2286.25,762.6924326008991,-1.8395872387513126,1.65145726540886,1040.108208955224,1319.75,1292.875,452.1076615562237,-1.5101462511535568,0.6410257188002233,1917.3837064676618,2262.625,2233.375,684.685008730596,-2.0477254496873747,2.6117028455378417
