file,label,F10_skew,F10_kurtosis,F1_dwt_energy,F7_gradmax,F1_time_to_peak,F1_skew,F3_auc,F3_mean,F2_gradmax,F5_gradmax,F6_dwt_energy,F6_kurtosis,F2_std,F3_fft_max_mag,F7_std
A_01_1030crop.csv,A,-1.5814740209605107,0.8887196823588188,0.2640105550523532,2.500000000000007,30.0,-0.344858653094181,43.445833333333326,2.174129353233831,6.875000000000085,112.50000000000044,0.5262799350963282,0.1102590300566443,28.272810721056047,437.0,3.5909542355375
A_02_1030crop.csv,A,-1.6636962783245115,1.1590806444089117,0.2464537417555137,2.500000000000007,30.0,-0.4219812416931021,39.3125,1.9645522388059704,6.875000000000057,134.37500000000057,0.6145492277876937,0.3414471620213399,29.653186514727484,394.875,3.77424507261672
A_03_1030crop.csv,A,-1.9378417656631648,2.1668507278117968,0.5682271443597168,3.125000000000014,26.6,-0.6933070028908961,72.55833333333332,3.627487562189055,13.750000000000057,234.3750000000009,1.2089898885334802,0.5196443148140752,61.83142671416511,729.125,6.413390628557676
A_04_1030crop.csv,A,-1.6633086268122743,1.167699687037679,0.2840116202600476,2.5000000000000107,29.4,-0.4213577965252549,42.29999999999998,2.1181592039800994,7.500000000000085,127.50000000000044,0.7948955114567434,0.2241239055512114,31.5857360787946,425.75,3.8196719916647055
A_05_1030crop.csv,A,-1.5911018215442418,0.934041026691682,0.2488593038998311,2.500000000000057,30.0,-0.3388625769834199,51.85416666666667,2.5907960199004973,6.250000000000028,108.12500000000034,0.5458854737004614,0.0803173794658986,26.302871202267674,520.75,2.966851246549196
A_06_1030crop.csv,A,-1.6248359697069557,1.0359991894515952,0.261677991454135,2.5000000000000107,29.9,-0.369978132599616,30.433333333333334,1.5230099502487562,6.875,110.62499999999956,0.6138627119870531,0.1549736420041005,26.826039858244577,306.125,3.529343205020628
A_07_1030crop.csv,A,-1.6814463529525396,1.2172886359942998,0.2490344706609129,3.1250000000000107,29.5,-0.4375588257534447,29.262500000000003,1.4645522388059702,8.125000000000057,137.50000000000043,0.830520448043008,0.1561474098965787,35.80454777428085,294.375,4.728843044753893
A_08_1030crop.csv,A,-1.6631886705758423,1.1693870911685744,0.2351235809415366,2.5000000000000107,29.4,-0.415615925038579,54.56666666666668,2.72636815920398,7.500000000000057,132.50000000000043,0.632254200583703,0.2145604255705926,32.61648690987992,548.0,4.102448050907626
A_09_1030crop.csv,A,-1.6207016686628952,1.018880152066071,0.2646135817739862,2.500000000000009,30.0,-0.3626399479065831,29.27083333333333,1.4639303482587065,6.250000000000057,111.87500000000034,0.6235386963839661,0.1876506502578685,27.76039262371048,294.25,3.592368711771224
A_10_1030crop.csv,A,-1.7304634215935717,1.4110271442313582,0.2775152316526547,2.499999999999986,29.0,-0.4645316241339143,33.96666666666666,1.6983830845771144,8.125000000000057,135.62500000000043,0.4396959821021968,0.2471703152437716,36.51532790089469,341.375,4.230867058995039
A_11_1030crop.csv,A,-2.016671844164561,2.516652481250004,0.7900997309861815,4.375000000000018,25.3,-0.7793188260078764,25.13333333333333,1.2587064676616917,14.375000000000114,270.6250000000009,1.3985116854808708,0.3930010318779886,59.63928115548013,253.0,6.752836128056261
A_12_1030crop.csv,A,-1.6698221371870898,1.2010812344252022,0.2485877864762888,3.1250000000000107,30.0,-0.3924701941245334,49.47916666666666,2.4732587064676617,8.125000000000057,125.62500000000044,0.4811169891725424,0.2413792760294715,34.33168715607852,497.125,4.76116096946262
A_13_1030crop.csv,A,-1.865167136316224,1.891156768312752,0.3940352118183773,3.7499999999999822,28.1,-0.5509071310010173,36.425,1.824004975124378,11.250000000000057,176.25000000000068,0.8299990090483926,0.3953598029800895,49.1046522308715,366.625,5.987701641283249
A_14_1030crop.csv,A,-1.5382804248172597,0.7543329288284895,0.2435551149123468,2.500000000000009,30.0,-0.2459022531495398,28.25416666666667,1.4129353233830846,5.000000000000028,87.49999999999955,0.5071076498880372,0.0018535984201575,23.03762911013121,284.0,3.413362166532994
A_15_1030crop.csv,A,-1.843417265499829,1.8015801475488689,0.3230101879733672,3.750000000000014,28.0,-0.5609409974769384,29.44166666666667,1.4738805970149254,10.000000000000083,168.12500000000068,0.8424793552341712,0.3504818758076715,45.442693907680464,296.25,5.494302855208823
A_16_1030crop.csv,A,-2.119997961287444,2.9274731173592325,0.7098232673333507,4.375000000000016,25.5,-0.7990073123487317,55.3875,2.7723880597014925,18.12500000000012,262.5000000000009,1.3724329730882538,0.6372242037855771,81.33523301501594,557.25,8.355098229544403
A_17_1030crop.csv,A,-1.9607510331724416,2.26124039450965,0.2826974688343252,4.374999999999989,27.5,-0.648745027996375,36.60416666666667,1.828980099502488,11.875000000000114,198.12500000000068,0.5578327121468644,0.594388050202598,53.44232778379438,367.625,6.127135328356697
A_18_1030crop.csv,A,-1.6910013327539692,1.270915018935371,0.229513514716541,3.1249999999999964,30.0,-0.376629600370207,39.02916666666667,1.953358208955224,6.875000000000057,116.24999999999932,0.6016829314616834,0.1713413006393556,30.067980441171933,392.625,3.75837410576873
A_19_1030crop.csv,A,-1.9221669355716944,2.112216368444126,0.4911046204395847,3.750000000000014,27.2,-0.5994373883149019,46.24583333333333,2.3146766169154227,11.875000000000114,190.62500000000068,0.9981115910555978,0.323182614111595,52.4704351227078,465.25,5.875420404560299
A_20_1030crop.csv,A,-2.2057610443279034,3.2864023595491902,0.6553458894052868,4.9999999999999964,24.6,-0.948014003326109,69.47083333333333,3.474502487562189,23.75000000000012,336.87500000000136,1.4389493214443627,0.9569420407850324,108.12426902888576,698.375,10.366668566332152
