time(s),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Temp,Humid
10.0,0.625,0.125,0.0,4.5,-0.75,-1.5,-0.25,4.875,3.5,4.75,0.0399999999999991,-0.1099999999999994
10.1,0.625,0.0,-0.125,4.5,-0.75,-1.75,-0.125,4.875,2.75,3.625,0.0399999999999991,-0.1099999999999994
10.2,0.625,0.125,-0.125,4.5,-0.75,-1.75,-0.125,4.875,2.125,2.875,0.0399999999999991,-0.1300000000000025
10.3,0.625,0.125,-0.25,4.5,-0.875,-1.875,-0.125,4.875,2.0,2.5,0.0499999999999971,-0.1199999999999974
10.4,0.5,0.125,-0.25,4.375,-1.0,-2.0,-0.25,4.875,1.875,2.375,0.0300000000000011,-0.1000000000000014
10.5,0.5,0.125,-0.25,4.375,-1.0,-1.875,-0.125,4.875,2.0,2.375,0.0399999999999991,-0.1099999999999994
10.6,0.625,0.125,-0.25,4.375,-1.0,-2.0,-0.125,4.875,2.125,2.5,0.0499999999999971,-0.0700000000000002
10.7,0.5,0.125,-0.25,4.375,-1.0,-2.0,-0.125,4.875,2.0,2.875,0.0399999999999991,-0.1300000000000025
10.8,0.625,0.125,-0.25,4.375,-1.0,-2.0,-0.125,4.875,2.0,3.875,0.0399999999999991,-0.1300000000000025
10.9,0.75,0.125,-0.25,4.375,-0.75,-1.75,-0.125,5.0,2.125,6.125,0.0499999999999971,-0.1400000000000005
11.0,0.875,0.0,-0.25,4.625,-0.5,-1.375,0.125,5.0,2.125,10.25,0.0399999999999991,-0.1000000000000014
11.1,1.25,0.125,-0.25,5.0,0.125,-0.625,0.0,5.125,2.375,17.75,0.0499999999999971,-0.1099999999999994
11.2,1.625,0.125,-0.25,5.875,1.375,0.5,0.125,5.5,2.75,29.25,0.0399999999999991,-0.1400000000000005
11.3,2.375,0.125,-0.25,7.375,3.25,2.375,0.375,6.25,3.5,44.5,0.0499999999999971,-0.0799999999999983
11.4,3.375,0.125,-0.25,9.75,6.25,4.625,0.5,7.875,5.0,64.375,0.0499999999999971,-0.0499999999999971
11.5,4.75,0.125,-0.25,13.375,10.0,7.875,0.75,10.75,7.25,88.875,0.0,-0.1599999999999966
11.6,6.25,0.125,-0.25,18.125,14.625,11.875,0.875,15.25,10.5,118.25,0.0399999999999991,-0.1099999999999994
11.7,8.25,0.125,-0.125,24.75,20.0,16.75,1.0,22.125,15.125,153.125,0.0499999999999971,-0.1099999999999994
11.8,10.625,0.125,-0.125,33.125,26.25,22.625,1.5,31.875,21.125,194.125,0.0399999999999991,-0.0499999999999971
11.9,13.375,0.125,-0.125,43.5,33.5,29.0,1.75,44.875,28.75,241.125,0.0499999999999971,-0.0700000000000002
12.0,16.5,0.125,-0.125,56.25,41.75,36.125,2.0,61.5,37.75,295.25,0.0399999999999991,-0.1099999999999994
12.1,20.25,0.375,-0.25,71.5,50.75,43.875,2.25,82.25,48.625,355.5,0.0799999999999983,-0.0499999999999971
12.2,24.25,0.375,-0.25,89.0,60.25,52.25,2.625,106.875,61.0,420.75,0.0499999999999971,-0.009999999999998
12.3,28.625,0.5,-0.25,109.25,70.375,61.125,2.875,136.375,75.0,492.125,0.0399999999999991,-0.0399999999999991
12.4,33.625,0.75,-0.25,131.875,81.25,70.5,3.25,170.125,90.375,567.625,0.0700000000000002,0.0700000000000002
12.5,38.75,0.875,-0.25,156.625,92.375,80.25,3.5,208.0,106.5,643.875,0.0499999999999971,0.0499999999999971
12.6,44.5,1.125,-0.25,183.875,104.375,90.5,3.875,250.625,124.125,721.25,0.0499999999999971,0.0900000000000034
12.7,50.625,1.375,-0.25,212.875,116.625,100.875,4.0,297.125,142.25,796.375,0.0399999999999991,0.0900000000000034
12.8,57.125,1.625,-0.25,244.125,129.625,111.625,4.5,348.125,161.25,869.875,0.0700000000000002,0.1700000000000017
12.9,63.875,1.875,-0.25,277.0,143.0,122.625,4.75,403.125,181.0,940.375,0.0700000000000002,0.240000000000002
13.0,71.125,2.125,-0.25,310.875,156.75,133.75,5.0,461.0,200.875,1007.125,0.0499999999999971,0.2300000000000039
13.1,78.75,2.5,-0.375,346.25,171.125,145.125,5.25,522.25,221.375,1071.125,0.0399999999999991,0.240000000000002
13.2,86.75,2.875,-0.25,382.375,185.75,156.625,5.625,586.25,242.125,1131.5,0.0499999999999971,0.2899999999999991
13.3,94.875,3.25,-0.25,418.625,200.75,168.0,5.875,651.5,262.625,1187.375,0.0499999999999971,0.3800000000000025
13.4,103.5,3.625,-0.25,455.5,216.0,179.625,6.25,719.0,283.375,1239.75,0.0700000000000002,0.4200000000000017
13.5,112.375,4.0,-0.25,492.25,231.625,191.125,6.5,787.375,303.75,1288.125,0.0700000000000002,0.4699999999999988
13.6,121.5,4.5,-0.25,528.25,247.25,202.5,6.625,855.25,323.75,1332.375,0.0499999999999971,0.5200000000000031
13.7,131.0,5.0,-0.25,564.125,263.0,214.0,7.0,923.375,343.5,1374.25,0.0700000000000002,0.5399999999999991
13.8,140.75,5.375,-0.125,599.25,279.125,225.25,7.25,990.25,363.0,1413.125,0.0700000000000002,0.6000000000000014
13.9,150.625,5.875,-0.25,632.875,294.875,236.5,7.375,1055.0,382.0,1449.25,0.0499999999999971,0.6600000000000037
14.0,161.0,6.375,-0.125,665.875,310.75,247.5,7.875,1118.25,400.75,1483.25,0.0700000000000002,0.7000000000000028
14.1,171.5,6.875,-0.125,697.625,326.625,258.375,8.125,1179.25,419.25,1515.0,0.0700000000000002,0.8200000000000003
14.2,182.0,7.375,-0.125,727.75,342.25,268.875,8.375,1237.0,437.125,1544.5,0.0499999999999971,0.8200000000000003
14.3,193.0,7.875,-0.125,756.75,358.0,279.25,8.625,1292.375,454.75,1572.625,0.0700000000000002,0.8500000000000014
14.4,204.125,8.5,-0.125,784.375,373.375,289.5,8.875,1344.625,472.0,1599.0,0.0700000000000002,0.980000000000004
14.5,215.25,9.0,-0.125,810.375,388.375,299.125,9.0,1393.375,488.5,1623.25,0.0700000000000002,0.9500000000000028
14.6,226.75,9.625,-0.125,835.125,403.25,308.875,9.25,1439.375,504.875,1646.125,0.0700000000000002,1.0600000000000025
14.7,238.375,10.125,0.0,858.625,417.75,318.125,9.375,1482.25,520.625,1667.5,0.0799999999999983,1.1199999999999974
14.8,250.0,10.875,0.0,880.5,431.75,327.0,9.625,1521.625,535.75,1687.5,0.0799999999999983,1.1899999999999975
14.9,262.0,11.5,0.0,901.375,445.75,335.75,9.875,1558.625,550.5,1706.75,0.0700000000000002,1.2000000000000028
15.0,273.875,12.125,0.0,920.875,459.125,344.125,10.0,1592.875,564.875,1725.25,0.0799999999999983,1.2199999999999989
15.1,285.875,12.75,0.0,939.0,472.125,352.25,10.25,1624.25,578.625,1742.375,0.0700000000000002,1.3400000000000034
15.2,298.125,13.5,0.125,956.25,484.875,360.125,10.375,1653.5,592.0,1758.875,0.0700000000000002,1.3400000000000034
15.3,310.375,14.125,0.125,972.5,497.25,367.625,10.5,1680.625,605.125,1774.25,0.0700000000000002,1.4299999999999995
15.4,322.625,14.75,0.125,987.5,509.0,374.875,10.875,1705.375,617.5,1788.75,0.0700000000000002,1.480000000000004
15.5,335.0,15.5,0.125,1001.75,520.5,381.75,10.875,1728.625,629.5,1802.375,0.0499999999999971,1.509999999999998
15.6,347.5,16.25,0.25,1015.0,531.5,388.5,11.0,1750.0,641.25,1815.5,0.0799999999999983,1.509999999999998
15.7,360.0,16.875,0.125,1027.375,542.25,394.875,11.25,1769.5,652.25,1827.75,0.0799999999999983,1.6000000000000014
15.8,372.375,17.5,0.25,1039.125,552.5,400.875,11.375,1787.875,663.125,1839.625,0.0700000000000002,1.6300000000000026
15.9,384.875,18.25,0.25,1050.0,562.25,406.75,11.5,1804.625,673.5,1850.75,0.0499999999999971,1.6499999999999986
16.0,397.5,19.0,0.25,1060.25,571.75,412.25,11.75,1820.375,683.5,1861.375,0.0700000000000002,1.75
16.1,410.0,19.75,0.25,1070.0,581.0,417.5,12.0,1835.0,693.125,1871.25,0.0700000000000002,1.75
16.2,422.375,20.5,0.375,1078.875,589.625,422.5,11.875,1848.5,702.375,1880.625,0.0700000000000002,1.8100000000000025
16.3,434.875,21.25,0.375,1087.375,598.0,427.375,12.25,1861.25,711.25,1889.5,0.0499999999999971,1.8599999999999997
16.4,447.5,22.0,0.375,1095.375,606.125,431.875,12.375,1873.0,719.875,1898.0,0.0799999999999983,1.910000000000004
16.5,459.75,22.875,0.5,1102.75,613.75,436.125,12.375,1883.875,728.0,1906.125,0.0799999999999983,1.910000000000004
16.6,472.125,23.625,0.5,1109.75,621.0,440.25,12.5,1894.125,736.0,1913.625,0.0700000000000002,2.009999999999998
16.7,484.625,24.375,0.5,1116.25,628.0,444.125,12.625,1903.625,743.625,1920.75,0.0799999999999983,2.030000000000001
16.8,496.75,25.25,0.5,1122.375,634.625,447.75,12.875,1912.375,750.875,1927.5,0.0499999999999971,2.0900000000000034
16.9,509.0,26.0,0.625,1128.25,641.0,451.25,12.875,1920.75,757.875,1934.0,0.0700000000000002,2.0900000000000034
17.0,521.25,26.875,0.625,1133.625,647.0,454.5,13.125,1928.375,764.625,1940.125,0.0799999999999983,2.119999999999997
