time(s),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Temp,Humid
10.0,2.0,0.375,0.25,12.0,0.625,16.75,3.625,10.5,5.125,8.25,0.0399999999999991,-0.0799999999999983
10.1,2.0,0.25,0.25,12.125,0.625,17.375,3.625,10.5,4.875,8.0,0.0399999999999991,-0.0300000000000011
10.2,2.0,0.375,0.25,12.125,0.625,18.0,4.0,10.5,4.75,7.875,0.0300000000000011,-0.0500000000000042
10.3,2.0,0.375,0.25,12.125,0.625,18.625,3.875,10.5,4.75,7.875,0.0399999999999991,-0.0500000000000042
10.4,2.125,0.375,0.25,12.125,0.625,19.375,4.125,10.5,4.75,7.875,0.0300000000000011,-0.0399999999999991
10.5,2.125,0.375,0.25,12.125,0.625,20.0,4.125,10.625,4.625,7.875,0.0300000000000011,-0.0700000000000002
10.6,2.25,0.375,0.25,12.25,0.625,20.625,4.375,10.625,4.625,8.5,0.0600000000000022,-0.0300000000000011
10.7,2.25,0.375,0.25,12.25,0.75,21.375,4.5,10.625,4.75,9.75,0.0399999999999991,-0.0799999999999983
10.8,2.5,0.5,0.25,12.375,1.125,22.125,4.75,10.625,4.75,12.375,0.0399999999999991,-0.0700000000000002
10.9,2.75,0.5,0.125,12.625,1.75,23.125,5.125,10.75,4.875,16.875,0.0600000000000022,-0.0900000000000034
11.0,3.375,0.5,0.25,13.0,2.875,24.625,5.375,11.25,5.375,23.625,0.0399999999999991,-0.0799999999999983
11.1,4.25,0.5,0.25,14.125,4.625,26.75,5.5,12.25,6.5,33.125,0.0600000000000022,-0.0799999999999983
11.2,5.375,0.625,0.25,16.0,7.5,29.625,5.625,14.5,9.375,46.5,0.0600000000000022,-0.0799999999999983
11.3,7.0,0.75,0.25,19.25,11.5,33.5,5.875,18.375,14.5,64.125,0.0300000000000011,-0.1000000000000014
11.4,9.125,0.75,0.25,24.375,16.5,38.25,6.125,24.375,22.375,86.125,0.0300000000000011,-0.0700000000000002
11.5,11.5,0.75,0.25,31.625,22.5,43.75,6.5,33.25,33.75,113.625,0.0200000000000031,-0.0600000000000022
11.6,14.5,1.0,0.25,41.625,29.375,50.25,6.625,45.5,48.5,147.75,0.0600000000000022,-0.0799999999999983
11.7,18.125,1.125,0.25,54.25,37.125,57.375,6.875,61.75,66.75,188.875,0.0300000000000011,-0.0700000000000002
11.8,22.25,1.375,0.25,70.25,45.875,65.375,7.5,82.5,88.875,239.125,0.0399999999999991,-0.0500000000000042
11.9,26.75,1.5,0.25,89.375,55.625,74.0,7.875,108.375,114.75,298.875,0.0399999999999991,-0.0700000000000002
12.0,32.0,1.875,0.375,111.875,66.25,83.125,8.125,139.375,143.75,366.75,0.0600000000000022,-0.0600000000000022
12.1,37.625,2.25,0.375,138.125,78.0,93.0,8.625,176.25,176.125,443.0,0.0200000000000031,-0.0100000000000051
12.2,44.0,2.625,0.375,168.0,90.625,103.375,9.0,219.0,210.875,527.0,0.0300000000000011,-0.0200000000000031
12.3,50.75,3.0,0.375,201.25,104.125,114.25,9.375,267.125,247.125,616.625,0.0399999999999991,-0.0100000000000051
12.4,58.125,3.375,0.375,238.125,118.375,125.625,9.625,321.75,285.25,710.625,0.0600000000000022,0.0300000000000011
12.5,66.125,3.875,0.375,278.375,133.375,137.5,10.125,382.375,324.375,804.75,0.0300000000000011,0.009999999999998
12.6,74.375,4.25,0.375,321.375,148.75,149.625,10.5,447.875,364.125,896.25,0.0300000000000011,-0.0100000000000051
12.7,83.375,4.875,0.375,367.5,164.625,162.125,10.75,519.875,405.125,986.125,0.0600000000000022,0.0499999999999971
12.8,92.75,5.375,0.375,416.125,181.125,174.875,11.25,596.875,447.0,1072.75,0.0300000000000011,0.0799999999999983
12.9,102.5,5.875,0.375,466.125,197.875,187.5,11.375,677.375,488.875,1154.375,0.0300000000000011,0.1299999999999954
13.0,112.75,6.5,0.5,518.125,215.25,200.5,11.875,762.25,531.625,1232.5,0.0399999999999991,0.0799999999999983
13.1,123.5,7.125,0.375,571.25,233.125,213.75,12.25,849.75,574.375,1305.25,0.0399999999999991,0.1000000000000014
13.2,134.625,7.75,0.5,624.125,251.0,226.75,12.625,938.0,616.25,1371.625,0.0399999999999991,0.1299999999999954
13.3,146.125,8.375,0.5,677.625,269.375,240.125,12.875,1028.0,658.125,1434.0,0.0300000000000011,0.1400000000000005
13.4,158.0,9.0,0.5,730.5,288.125,253.375,13.375,1118.0,698.875,1491.375,0.0300000000000011,0.1299999999999954
13.5,170.125,9.75,0.5,782.0,306.75,266.375,13.75,1205.875,738.375,1543.625,0.0399999999999991,0.1299999999999954
13.6,182.625,10.375,0.5,832.625,325.875,279.5,14.0,1293.0,777.125,1592.125,0.0600000000000022,0.1899999999999977
13.7,195.5,11.125,0.5,881.625,345.0,292.375,14.5,1377.375,814.625,1637.25,0.0700000000000002,0.2199999999999988
13.8,208.625,11.875,0.625,928.0,364.0,304.875,14.5,1457.75,850.625,1678.5,0.0300000000000011,0.2199999999999988
13.9,222.0,12.5,0.5,973.0,383.125,317.375,15.0,1534.875,885.5,1716.75,0.0399999999999991,0.269999999999996
14.0,235.625,13.375,0.625,1015.125,401.875,329.5,15.25,1606.75,918.875,1750.75,0.0399999999999991,0.259999999999998
14.1,249.625,14.0,0.625,1055.5,420.75,341.625,15.5,1674.875,951.375,1782.0,0.0399999999999991,0.3200000000000003
14.2,263.875,14.875,0.625,1093.5,439.125,353.25,15.875,1738.5,982.5,1810.5,0.0600000000000022,0.3200000000000003
14.3,278.125,15.75,0.625,1129.0,457.125,364.625,16.125,1796.75,1012.125,1836.875,0.0700000000000002,0.3099999999999951
14.4,292.75,16.5,0.75,1162.5,475.0,375.875,16.625,1851.125,1041.125,1861.875,0.0300000000000011,0.3500000000000014
14.5,307.5,17.25,0.75,1194.0,492.5,386.625,16.75,1901.125,1068.75,1885.125,0.0600000000000022,0.4099999999999966
14.6,322.25,18.25,0.75,1223.0,509.375,397.0,16.875,1946.5,1095.0,1906.375,0.0300000000000011,0.3900000000000005
14.7,337.375,19.0,0.75,1250.5,526.0,407.25,17.25,1988.625,1120.5,1926.375,0.0300000000000011,0.4099999999999966
14.8,352.5,19.875,0.75,1276.125,542.25,417.0,17.5,2027.25,1145.0,1944.875,0.0600000000000022,0.4699999999999988
14.9,367.75,20.75,0.75,1299.75,557.75,426.375,17.875,2062.125,1168.125,1962.0,0.0900000000000034,0.519999999999996
15.0,383.125,21.625,0.875,1322.0,573.0,435.5,18.0,2094.5,1190.375,1978.25,0.0399999999999991,0.509999999999998
15.1,398.5,22.5,0.875,1342.625,587.75,444.375,18.625,2124.25,1211.875,1993.375,0.0399999999999991,0.4699999999999988
15.2,413.875,23.375,0.875,1361.875,602.0,452.75,18.625,2151.125,1232.125,2007.25,0.0600000000000022,0.5300000000000011
15.3,429.5,24.25,1.0,1379.875,615.75,460.75,18.75,2176.125,1251.625,2020.5,0.0399999999999991,0.5399999999999991
15.4,445.125,25.25,1.0,1396.625,629.125,468.625,19.0,2199.125,1270.375,2032.75,0.0600000000000022,0.5700000000000003
15.5,460.5,26.25,1.0,1412.125,641.75,476.0,19.25,2220.0,1288.0,2044.375,0.0700000000000002,0.5599999999999952
15.6,476.125,27.125,1.125,1426.75,654.0,483.125,19.375,2239.5,1305.0,2055.125,0.0600000000000022,0.5700000000000003
15.7,491.75,28.0,1.125,1440.375,665.875,490.0,19.875,2257.375,1321.25,2065.375,0.0700000000000002,0.5899999999999963
15.8,507.125,29.0,1.125,1453.0,677.0,496.5,20.0,2273.75,1336.5,2074.875,0.0399999999999991,0.6299999999999955
15.9,522.625,30.0,1.125,1464.875,688.0,502.625,20.5,2289.0,1351.375,2083.875,0.0600000000000022,0.6499999999999986
16.0,538.125,31.125,1.25,1476.125,698.25,508.625,20.75,2303.0,1365.5,2092.375,0.0700000000000002,0.6599999999999966
16.1,553.375,32.0,1.25,1486.375,708.0,514.25,21.0,2315.875,1378.875,2100.375,0.0700000000000002,0.6799999999999997
16.2,568.75,33.0,1.25,1496.125,717.375,519.625,21.0,2328.0,1391.75,2107.875,0.0399999999999991,0.6999999999999957
16.3,583.875,34.0,1.375,1505.375,726.5,524.75,21.125,2339.25,1404.0,2115.125,0.0399999999999991,0.75
16.4,599.0,35.0,1.375,1513.75,734.875,529.5,21.25,2349.5,1415.75,2121.75,0.0600000000000022,0.7199999999999989
16.5,614.0,36.125,1.375,1521.875,743.125,534.125,21.625,2359.125,1427.0,2128.125,0.0600000000000022,0.7800000000000011
16.6,628.875,37.125,1.5,1529.375,750.75,538.5,21.625,2368.125,1437.625,2134.125,0.0300000000000011,0.7199999999999989
16.7,643.5,38.125,1.5,1536.375,758.0,542.625,22.0,2376.5,1447.875,2139.75,0.0399999999999991,0.7800000000000011
16.8,658.125,39.125,1.5,1543.0,764.875,546.625,22.25,2384.125,1457.625,2145.0,0.0600000000000022,0.8099999999999952
16.9,672.625,40.125,1.5,1549.25,771.375,550.375,22.125,2391.375,1467.0,2150.125,0.0600000000000022,0.8299999999999983
17.0,686.875,41.25,1.625,1555.125,777.625,553.75,22.625,2398.0,1475.75,2154.875,0.0700000000000002,0.7800000000000011
17.1,701.0,42.25,1.625,1560.625,783.375,557.0,22.875,2404.25,1484.375,2159.375,0.0399999999999991,0.8399999999999963
17.2,714.875,43.25,1.625,1565.75,788.75,560.125,22.875,2410.0,1492.375,2163.625,0.0399999999999991,0.8500000000000014
17.3,728.75,44.25,1.75,1570.5,793.875,563.0,23.25,2415.5,1500.125,2167.625,0.0900000000000034,0.8399999999999963
17.4,742.5,45.375,1.75,1575.125,798.75,565.75,23.375,2420.5,1507.625,2171.375,0.0399999999999991,0.8500000000000014
17.5,755.75,46.375,1.875,1579.25,803.25,568.375,23.5,2425.25,1514.625,2174.875,0.0600000000000022,0.8699999999999974
17.6,769.125,47.5,1.875,1583.25,807.375,570.75,23.625,2429.625,1521.5,2178.25,0.0700000000000002,0.8799999999999955
17.7,782.375,48.625,1.875,1587.125,811.375,573.0,23.625,2433.75,1528.0,2181.375,0.0399999999999991,0.9099999999999966
17.8,795.125,49.625,1.875,1590.5,815.0,575.0,24.0,2437.5,1534.125,2184.25,0.0700000000000002,0.9099999999999966
17.9,807.875,50.625,1.875,1593.75,818.25,576.875,24.125,2441.125,1540.125,2187.125,0.0399999999999991,0.8999999999999986
18.0,820.375,51.625,2.0,1596.75,821.375,578.625,24.25,2444.375,1545.75,2189.75,0.0600000000000022,0.9899999999999948
18.1,832.625,52.75,2.0,1599.625,824.25,580.375,24.625,2447.375,1551.125,2192.25,0.0700000000000002,0.8999999999999986
