time(s),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Temp,Humid
10.0,2.5,1.5,-1.25,6.625,-6.5,-7.0,0.0,4.125,2.375,-2.0,0.0300000000000011,-0.4099999999999966
10.1,2.5,1.5,-1.375,6.5,-6.625,-7.125,0.0,4.0,2.125,-2.125,0.0700000000000002,-0.4199999999999946
10.2,2.5,1.375,-1.375,6.375,-6.625,-7.25,0.25,3.875,2.0,-2.25,0.0499999999999971,-0.4199999999999946
10.3,2.5,1.5,-1.375,6.25,-6.75,-7.25,0.125,3.625,2.0,-2.375,0.0300000000000011,-0.4399999999999977
10.4,2.375,1.5,-1.5,6.0,-6.875,-7.375,-0.125,3.625,2.0,-2.375,0.0399999999999991,-0.4299999999999997
10.5,2.375,1.375,-1.5,6.0,-7.0,-7.5,-0.125,3.5,2.0,-2.25,0.0499999999999971,-0.4099999999999966
10.6,2.375,1.375,-1.625,5.875,-7.0,-7.5,-0.125,3.375,2.0,-1.75,0.0300000000000011,-0.4399999999999977
10.7,2.375,1.375,-1.625,5.75,-6.875,-7.5,0.0,3.25,2.0,-0.875,0.0399999999999991,-0.4299999999999997
10.8,2.375,1.5,-1.625,5.625,-6.75,-7.375,-0.125,3.25,2.0,1.0,0.0300000000000011,-0.4699999999999988
10.9,2.625,1.375,-1.625,5.75,-6.25,-7.125,0.0,3.125,2.125,4.25,0.0399999999999991,-0.4399999999999977
11.0,3.0,1.5,-1.625,6.25,-5.375,-6.5,0.0,3.375,2.5,9.625,0.0399999999999991,-0.4699999999999988
11.1,3.625,1.375,-1.75,7.25,-4.125,-5.25,0.125,3.875,3.375,18.375,0.0399999999999991,-0.4499999999999957
11.2,4.625,1.5,-1.75,9.125,-1.875,-3.5,0.25,5.0,5.25,31.125,0.0300000000000011,-0.4399999999999977
11.3,6.125,1.375,-1.75,12.5,1.125,-0.875,0.375,7.375,8.5,48.125,0.0799999999999983,-0.4399999999999977
11.4,8.0,1.625,-1.75,17.875,5.0,2.875,0.25,11.375,14.125,69.875,0.0700000000000002,-0.5
11.5,10.25,1.625,-1.75,25.5,10.0,7.5,0.625,18.125,22.75,97.125,0.0499999999999971,-0.4699999999999988
11.6,13.125,1.75,-1.75,36.125,16.0,13.25,0.75,27.875,34.875,131.375,0.0499999999999971,-0.4699999999999988
11.7,16.625,1.875,-1.75,49.75,23.125,19.75,1.0,41.75,50.75,173.625,0.0300000000000011,-0.4899999999999949
11.8,20.75,2.125,-1.875,67.125,31.375,27.125,1.125,60.25,70.75,224.75,0.0799999999999983,-0.4799999999999969
11.9,25.25,2.375,-1.75,88.125,40.75,35.25,1.625,83.75,94.125,284.25,0.0499999999999971,-0.4799999999999969
12.0,30.375,2.625,-1.875,112.75,51.0,44.125,2.0,112.375,120.75,351.25,0.0499999999999971,-0.3899999999999934
12.1,36.25,2.875,-1.875,141.5,62.375,53.625,2.0,146.875,150.625,426.75,0.0499999999999971,-0.4699999999999988
12.2,42.625,3.25,-1.875,174.125,74.875,63.625,2.5,187.5,183.5,509.375,0.0499999999999971,-0.4399999999999977
12.3,49.5,3.625,-1.875,210.125,87.875,74.25,2.625,234.25,218.5,595.75,0.0499999999999971,-0.4099999999999966
12.4,57.0,4.125,-1.75,250.25,102.0,85.375,2.75,288.25,256.0,685.875,0.0700000000000002,-0.4499999999999957
12.5,65.0,4.5,-1.875,293.625,116.625,96.875,3.125,348.875,295.5,777.125,0.0499999999999971,-0.3899999999999934
12.6,73.5,5.0,-1.75,339.625,131.875,108.625,3.375,415.75,336.0,866.75,0.0399999999999991,-0.4399999999999977
12.7,82.625,5.5,-1.875,388.875,147.75,121.0,3.625,489.625,378.25,955.125,0.0499999999999971,-0.3899999999999934
12.8,92.25,6.0,-1.875,440.5,164.375,133.5,4.0,569.125,421.375,1039.875,0.0700000000000002,-0.3699999999999974
12.9,102.375,6.5,-1.875,493.25,181.25,146.375,4.5,652.625,464.625,1120.125,0.0499999999999971,-0.3499999999999943
13.0,113.0,7.125,-1.875,547.875,198.875,159.5,4.625,740.625,508.25,1197.25,0.0399999999999991,-0.3499999999999943
13.1,124.0,7.75,-1.875,603.125,217.0,172.875,4.875,831.875,551.75,1269.875,0.0499999999999971,-0.3199999999999932
13.2,135.375,8.375,-1.875,658.0,235.375,186.125,5.125,923.875,594.375,1336.875,0.0499999999999971,-0.279999999999994
13.3,147.375,9.125,-1.875,712.875,254.375,199.625,5.5,1018.125,636.5,1399.625,0.0499999999999971,-0.2899999999999991
13.4,159.625,9.75,-1.875,767.0,273.75,213.125,5.625,1112.375,677.875,1457.75,0.0700000000000002,-0.1999999999999957
13.5,172.25,10.375,-1.875,819.0,293.25,226.375,6.0,1204.375,717.75,1510.625,0.0499999999999971,-0.25
13.6,185.375,11.125,-1.875,869.875,312.875,239.75,6.0,1295.125,757.0,1559.75,0.0799999999999983,-0.2099999999999937
13.7,198.875,11.75,-1.875,918.75,332.625,253.0,6.5,1382.875,795.0,1604.875,0.0700000000000002,-0.1999999999999957
13.8,212.5,12.625,-1.75,965.0,352.125,265.875,6.75,1466.25,831.5,1646.25,0.0799999999999983,-0.1599999999999966
13.9,226.75,13.375,-1.75,1009.25,371.75,278.75,7.0,1546.25,867.25,1684.875,0.0700000000000002,-0.1599999999999966
14.0,240.875,14.125,-1.75,1050.75,391.125,291.125,7.25,1621.0,901.5,1720.125,0.0499999999999971,-0.0999999999999943
14.1,255.625,15.0,-1.75,1090.125,410.5,303.5,7.25,1691.375,935.0,1752.75,0.0499999999999971,-0.1099999999999994
14.2,270.5,15.875,-1.75,1127.125,429.625,315.5,7.625,1756.75,967.0,1782.875,0.0700000000000002,-0.0699999999999931
14.3,285.5,16.625,-1.75,1161.25,448.375,327.125,7.875,1816.625,997.625,1810.625,0.0499999999999971,-0.0399999999999991
14.4,300.875,17.5,-1.625,1193.625,467.0,338.375,8.0,1872.375,1027.25,1836.5,0.0499999999999971,-0.009999999999998
14.5,316.375,18.375,-1.625,1223.75,485.25,349.375,8.375,1923.375,1055.5,1860.375,0.0499999999999971,-0.0399999999999991
14.6,331.875,19.125,-1.625,1251.625,503.125,360.0,8.625,1969.625,1082.25,1882.125,0.0399999999999991,0.0500000000000042
14.7,347.625,20.0,-1.625,1277.75,520.625,370.25,8.875,2012.25,1108.125,1902.5,0.0499999999999971,0.0500000000000042
14.8,363.625,21.0,-1.625,1302.125,537.75,380.25,8.875,2051.25,1132.75,1921.375,0.0499999999999971,0.0600000000000022
14.9,379.5,21.875,-1.625,1324.5,554.25,389.625,9.25,2086.375,1156.125,1938.625,0.0399999999999991,0.0200000000000031
15.0,395.75,22.875,-1.625,1345.5,570.375,398.875,9.375,2118.875,1178.625,1954.75,0.0499999999999971,0.1400000000000005
15.1,411.875,23.75,-1.5,1365.125,586.125,407.625,9.5,2148.5,1200.0,1969.75,0.0399999999999991,0.1400000000000005
15.2,428.0,24.625,-1.5,1383.0,601.125,416.0,9.75,2175.375,1220.25,1983.625,0.0700000000000002,0.1400000000000005
15.3,444.375,25.75,-1.5,1400.0,615.75,424.125,10.0,2200.25,1239.75,1996.875,0.0700000000000002,0.1700000000000017
15.4,460.625,26.75,-1.375,1415.75,629.875,431.875,10.125,2223.0,1258.375,2009.25,0.0499999999999971,0.1400000000000005
15.5,476.875,27.625,-1.375,1430.25,643.375,439.125,10.375,2243.625,1275.75,2020.875,0.0499999999999971,0.1500000000000056
15.6,493.125,28.75,-1.375,1444.0,656.375,446.25,10.625,2262.75,1292.75,2032.0,0.0700000000000002,0.1700000000000017
