time(s),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Temp,Humid
10.0,5.875,-0.125,-0.125,30.25,6.25,4.0,0.125,33.375,18.625,30.5,0.0399999999999991,0.2000000000000028
10.1,5.875,-0.125,-0.25,30.375,6.125,4.0,0.0,33.5,18.875,30.625,0.0700000000000002,0.25
10.2,5.875,-0.125,-0.375,30.375,6.125,4.0,0.125,33.5,19.125,30.875,0.0600000000000022,0.25
10.3,6.0,0.0,-0.375,30.375,6.125,4.0,0.125,33.5,19.375,31.125,0.0300000000000011,0.1700000000000017
10.4,6.0,0.0,-0.5,30.5,6.0,4.0,0.125,33.625,19.625,31.375,0.0700000000000002,0.2100000000000008
10.5,6.125,0.0,-0.5,30.5,6.0,4.0,0.25,33.625,19.875,31.625,0.0399999999999991,0.2300000000000039
10.6,6.125,0.0,-0.625,30.5,6.0,4.0,0.125,33.75,20.125,32.125,0.0600000000000022,0.1899999999999977
10.7,6.25,0.125,-0.75,30.625,6.0,4.0,0.25,33.875,20.375,33.375,0.0600000000000022,0.1600000000000037
10.8,6.375,0.125,-0.75,30.625,6.0,4.125,0.25,33.875,20.625,36.25,0.0399999999999991,0.1600000000000037
10.9,6.75,0.0,-0.875,30.75,6.5,4.375,0.375,34.0,21.0,42.25,0.0399999999999991,0.1400000000000005
11.0,7.375,0.0,-0.875,31.0,7.375,5.0,0.375,34.375,21.375,52.875,0.0600000000000022,0.1499999999999985
11.1,8.375,0.125,-0.875,32.0,9.375,6.25,0.5,35.125,22.125,70.125,0.0700000000000002,0.1799999999999997
11.2,9.875,0.125,-1.0,34.0,12.875,9.0,0.75,36.875,24.125,95.75,0.0700000000000002,0.1899999999999977
11.3,12.0,0.125,-1.0,38.125,18.375,13.75,1.0,40.5,28.375,133.875,0.0600000000000022,0.1600000000000037
11.4,15.125,0.375,-1.0,45.0,25.875,21.0,1.125,47.0,36.625,188.25,0.0600000000000022,0.1300000000000025
11.5,19.125,0.375,-1.0,56.0,35.125,30.25,1.375,58.375,50.125,258.5,0.0600000000000022,0.2300000000000039
11.6,24.125,0.75,-1.0,72.125,46.75,41.25,1.875,76.375,70.25,344.5,0.0600000000000022,0.1000000000000014
11.7,30.375,1.125,-1.125,94.125,60.875,54.0,2.125,103.125,98.0,444.125,0.0600000000000022,0.1499999999999985
11.8,37.625,1.5,-1.125,122.375,77.5,68.25,2.625,139.25,133.375,554.625,0.0399999999999991,0.2000000000000028
11.9,46.25,2.125,-1.125,157.875,96.625,84.625,3.125,186.875,177.125,675.75,0.0399999999999991,0.2199999999999988
12.0,56.125,2.75,-1.125,200.625,118.5,102.625,3.625,247.125,228.25,802.375,0.0600000000000022,0.25
12.1,67.125,3.375,-1.125,250.375,142.625,122.0,4.0,320.125,285.375,928.0,0.0300000000000011,0.2100000000000008
12.2,79.5,4.125,-1.125,308.125,169.875,143.375,4.5,408.375,348.5,1053.0,0.0399999999999991,0.2899999999999991
12.3,93.25,5.0,-1.125,373.25,200.125,166.125,5.0,511.125,415.5,1173.75,0.0600000000000022,0.3200000000000003
12.4,107.875,5.875,-1.125,444.125,232.625,189.875,5.375,626.125,484.375,1286.125,0.0399999999999991,0.3200000000000003
12.5,124.0,6.875,-1.125,521.375,267.75,214.75,5.875,753.875,555.375,1391.0,0.0700000000000002,0.3400000000000034
12.6,141.125,7.875,-1.125,601.75,304.625,240.375,6.25,889.25,626.125,1486.125,0.0399999999999991,0.3699999999999974
12.7,159.5,8.875,-1.125,685.375,343.375,267.0,6.875,1031.75,697.375,1573.625,0.0399999999999991,0.4500000000000028
12.8,178.875,10.125,-1.125,769.875,383.375,294.125,7.5,1175.875,767.875,1653.0,0.0700000000000002,0.4699999999999988
12.9,199.0,11.25,-1.125,852.5,424.0,321.125,7.875,1316.625,836.25,1724.5,0.0399999999999991,0.5
13.0,220.375,12.625,-1.125,933.625,465.5,348.5,8.375,1453.375,903.5,1790.25,0.0700000000000002,0.5799999999999983
13.1,242.5,13.875,-1.125,1011.125,507.25,375.5,8.875,1581.625,968.25,1849.125,0.0300000000000011,0.6000000000000014
13.2,265.125,15.25,-1.125,1083.5,548.5,401.875,9.375,1698.25,1029.625,1900.625,0.0600000000000022,0.6000000000000014
13.3,289.0,16.75,-1.125,1151.625,589.75,428.0,9.875,1804.5,1088.625,1946.5,0.0399999999999991,0.6899999999999977
13.4,313.375,18.25,-1.125,1214.5,630.375,453.375,10.25,1898.75,1144.5,1987.0,0.0600000000000022,0.759999999999998
13.5,338.125,19.625,-1.0,1271.375,670.0,477.875,10.875,1980.875,1196.75,2022.75,0.0600000000000022,0.8100000000000023
13.6,363.75,21.25,-1.125,1323.75,709.0,501.5,11.125,2053.125,1246.375,2055.625,0.0700000000000002,0.8400000000000034
13.7,389.75,22.875,-1.0,1371.125,747.0,524.5,11.75,2115.75,1293.0,2085.5,0.0399999999999991,0.8500000000000014
13.8,416.0,24.5,-1.0,1413.5,783.125,546.125,12.25,2169.375,1336.0,2112.25,0.0600000000000022,1.0200000000000031
13.9,442.75,26.25,-1.0,1452.125,818.375,567.125,12.625,2216.125,1376.625,2136.375,0.0700000000000002,1.0300000000000011
14.0,469.875,27.875,-1.0,1487.0,851.875,587.125,13.0,2256.5,1414.375,2158.375,0.0900000000000034,1.0799999999999983
14.1,496.875,29.75,-1.0,1518.0,883.625,606.0,13.375,2291.375,1449.125,2178.375,0.0900000000000034,1.1199999999999974
14.2,524.25,31.375,-0.875,1546.375,913.875,623.875,13.75,2322.0,1481.75,2197.0,0.0399999999999991,1.1700000000000017
14.3,551.75,33.375,-0.875,1572.125,942.5,640.875,14.25,2348.75,1512.0,2213.75,0.0600000000000022,1.2199999999999989
14.4,578.875,35.125,-0.875,1595.125,969.25,656.625,14.625,2371.875,1539.75,2228.75,0.0600000000000022,1.25
14.5,606.375,37.0,-0.875,1616.375,994.625,671.75,15.125,2392.5,1565.75,2242.625,0.0600000000000022,1.3299999999999983
14.6,633.625,38.875,-0.875,1635.625,1018.375,685.875,15.375,2410.5,1589.875,2255.125,0.0900000000000034,1.3699999999999974
14.7,660.625,40.875,-0.75,1653.125,1040.625,699.0,15.625,2426.375,1612.125,2266.25,0.0600000000000022,1.4100000000000037
14.8,687.625,42.875,-0.75,1669.125,1061.5,711.25,16.0,2440.625,1632.875,2276.75,0.0700000000000002,1.5
14.9,714.375,44.875,-0.625,1683.75,1081.125,722.875,16.5,2453.25,1652.0,2286.625,0.0600000000000022,1.5600000000000025
15.0,740.625,46.875,-0.625,1697.125,1099.25,733.5,16.75,2464.375,1669.75,2295.5,0.0700000000000002,1.5799999999999983
15.1,766.75,48.875,-0.625,1709.5,1116.375,743.5,17.125,2474.25,1686.25,2303.75,0.0600000000000022,1.6199999999999974
15.2,792.5,51.0,-0.5,1720.875,1132.375,752.75,17.5,2483.25,1701.5,2311.5,0.0600000000000022,1.7199999999999989
15.3,817.75,53.0,-0.5,1731.125,1147.125,761.25,17.75,2491.25,1715.625,2318.625,0.0600000000000022,1.7100000000000009
15.4,842.75,55.25,-0.375,1740.75,1160.875,769.375,18.0,2498.375,1728.75,2325.25,0.0700000000000002,1.7100000000000009
15.5,867.25,57.375,-0.375,1749.625,1173.625,776.625,18.375,2504.875,1741.0,2331.25,0.0600000000000022,1.8100000000000025
15.6,891.125,59.5,-0.25,1757.75,1185.375,783.375,18.625,2510.625,1752.25,2336.75,0.0900000000000034,1.8699999999999972
15.7,914.75,61.625,-0.125,1765.25,1196.375,789.75,19.0,2515.875,1762.875,2341.75,0.1000000000000014,1.980000000000004
15.8,937.625,63.875,-0.125,1772.125,1206.5,795.5,19.5,2520.5,1772.625,2346.375,0.0600000000000022,1.910000000000004
15.9,960.125,66.0,-0.125,1778.5,1215.75,800.75,19.625,2524.75,1781.75,2350.625,0.0399999999999991,1.990000000000002
16.0,982.125,68.375,0.0,1784.5,1224.375,805.625,19.875,2528.625,1790.375,2354.375,0.0600000000000022,2.0600000000000023
16.1,1003.375,70.5,0.0,1789.75,1232.125,810.0,20.25,2532.0,1798.125,2358.0,0.0200000000000031,2.0900000000000034
16.2,1024.25,72.75,0.125,1794.875,1239.375,814.0,20.375,2535.25,1805.625,2361.25,0.0600000000000022,2.119999999999997
16.3,1044.5,75.0,0.125,1799.5,1246.125,817.625,20.625,2538.125,1812.375,2364.25,0.0399999999999991,2.18
16.4,1064.0,77.25,0.25,1803.625,1252.0,820.875,21.0,2540.625,1818.875,2367.0,0.0399999999999991,2.240000000000002
16.5,1083.25,79.5,0.25,1807.625,1257.5,823.75,21.25,2543.0,1824.75,2369.625,0.0700000000000002,2.259999999999998
16.6,1101.875,81.875,0.375,1811.125,1262.5,826.375,21.5,2545.125,1830.25,2372.0,0.0399999999999991,2.3100000000000023
16.7,1119.625,84.125,0.5,1814.375,1266.875,828.625,21.625,2547.0,1835.5,2374.25,0.0700000000000002,2.390000000000001
16.8,1137.125,86.375,0.5,1817.375,1270.875,830.625,21.75,2548.75,1840.25,2376.125,0.0600000000000022,2.369999999999997
16.9,1154.0,88.75,0.625,1820.25,1274.375,832.375,22.125,2550.25,1844.75,2378.0,0.0600000000000022,2.4399999999999977
17.0,1170.125,91.0,0.625,1822.625,1277.5,833.875,22.375,2551.625,1848.875,2379.75,0.0399999999999991,2.520000000000003
17.1,1185.875,93.375,0.75,1824.875,1280.25,835.125,22.625,2552.875,1852.875,2381.25,0.0600000000000022,2.549999999999997
17.2,1201.125,95.75,0.75,1827.0,1282.5,836.25,22.75,2554.0,1856.5,2382.625,0.0399999999999991,2.549999999999997
17.3,1215.625,98.0,0.875,1828.875,1284.5,837.0,23.0,2555.0,1859.875,2383.875,0.0600000000000022,2.5799999999999983
17.4,1229.75,100.25,1.0,1830.5,1286.125,837.5,23.25,2555.875,1863.0,2385.0,0.0600000000000022,2.6099999999999994
17.5,1243.25,102.625,1.0,1832.0,1287.375,838.0,23.625,2556.625,1865.875,2386.0,0.0700000000000002,2.6700000000000017
17.6,1256.25,105.0,1.125,1833.375,1288.375,838.25,23.625,2557.375,1868.625,2387.0,0.0600000000000022,2.700000000000003
17.7,1268.875,107.375,1.25,1834.5,1289.0,838.25,23.75,2558.0,1871.125,2387.875,0.0600000000000022,2.640000000000001
