time(s),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Temp,Humid
10.0,2.875,3.125,0.75,16.0,-7.875,-11.25,-0.375,12.0,6.375,7.125,0.0399999999999991,-0.7899999999999991
10.1,3.0,3.0,0.625,16.0,-7.875,-11.5,-0.25,12.0,6.375,7.125,0.009999999999998,-0.8299999999999983
10.2,2.875,3.0,0.625,15.875,-8.0,-11.625,-0.375,12.0,6.375,7.125,0.0200000000000031,-0.8100000000000023
10.3,2.875,3.0,0.5,15.875,-8.125,-11.75,-0.5,11.875,6.375,7.125,0.009999999999998,-0.8699999999999974
10.4,2.875,3.0,0.5,15.75,-8.25,-11.875,-0.375,11.875,6.375,7.125,0.0200000000000031,-0.8599999999999994
10.5,2.875,3.0,0.375,15.625,-8.375,-12.0,-0.5,11.875,6.5,7.25,0.0200000000000031,-0.8599999999999994
10.6,2.875,3.0,0.375,15.625,-8.5,-12.125,-0.375,11.875,6.5,7.375,0.0399999999999991,-0.8299999999999983
10.7,2.875,3.125,0.25,15.625,-8.5,-12.25,-0.375,11.875,6.5,7.875,0.0399999999999991,-0.8699999999999974
10.8,2.875,3.125,0.25,15.625,-8.375,-12.125,-0.375,11.75,6.5,9.125,0.009999999999998,-0.8900000000000006
10.9,3.0,3.0,0.125,15.75,-8.125,-12.125,-0.375,11.875,6.625,11.125,0.0200000000000031,-0.8999999999999986
11.0,3.25,3.125,0.25,16.0,-7.75,-11.625,-0.25,12.0,6.875,14.5,0.0200000000000031,-0.9600000000000009
11.1,3.625,3.0,0.125,16.75,-6.875,-11.0,-0.125,12.25,7.375,19.375,0.0499999999999971,-0.9299999999999996
11.2,4.25,3.0,0.125,18.0,-5.625,-9.875,-0.25,13.0,8.125,26.125,0.0200000000000031,-0.8900000000000006
11.3,5.0,3.125,0.125,20.0,-3.625,-8.25,-0.125,14.25,9.625,34.875,0.0399999999999991,-0.8800000000000026
11.4,6.125,3.125,0.125,23.125,-0.75,-6.125,0.125,16.375,12.125,46.375,0.0499999999999971,-0.9299999999999996
11.5,7.375,3.0,0.125,27.5,3.0,-3.25,0.0,19.75,15.75,60.875,0.0399999999999991,-0.9299999999999996
11.6,9.125,3.125,0.0,33.375,7.5,0.375,0.25,24.625,20.875,78.5,0.0499999999999971,-0.9399999999999976
11.7,11.125,3.125,0.125,40.875,12.75,4.75,0.375,31.875,27.75,99.875,0.0499999999999971,-0.9099999999999966
11.8,13.5,3.25,0.125,50.375,18.75,9.5,0.375,41.25,36.5,125.875,0.0399999999999991,-0.9099999999999966
11.9,16.125,3.375,0.0,61.75,25.125,15.125,0.625,53.375,47.375,157.375,0.0499999999999971,-0.8999999999999986
12.0,19.25,3.5,0.0,75.25,32.25,21.0,0.75,68.75,60.5,194.75,0.0399999999999991,-0.8999999999999986
12.1,22.625,3.625,0.125,91.125,40.125,27.5,0.875,87.375,75.5,237.0,0.0499999999999971,-0.9299999999999996
