time(s),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Temp,Humid
10.0,2.0,0.5,0.625,5.625,-0.25,-0.5,-0.375,8.625,-1.25,5.0,0.0399999999999991,-0.1600000000000037
10.1,2.125,0.5,0.625,5.625,-0.25,-0.625,-0.25,8.625,-1.375,5.0,0.0300000000000011,-0.1600000000000037
10.2,2.0,0.5,0.625,5.625,-0.375,-0.625,-0.25,8.75,-1.375,5.0,0.0300000000000011,-0.1700000000000017
10.3,2.0,0.625,0.375,5.625,-0.375,-0.625,-0.375,8.75,-1.375,5.0,0.0300000000000011,-0.1700000000000017
10.4,2.0,0.625,0.25,5.625,-0.5,-0.75,-0.375,8.75,-1.375,5.0,0.0300000000000011,-0.1400000000000005
10.5,2.0,0.625,0.125,5.5,-0.5,-0.75,-0.375,8.75,-1.375,5.125,0.0300000000000011,-0.1600000000000037
10.6,2.0,0.75,0.125,5.625,-0.375,-0.875,-0.375,8.875,-1.375,5.375,0.0300000000000011,-0.2100000000000008
10.7,2.0,0.75,0.0,5.625,-0.375,-0.75,-0.375,8.875,-1.5,5.75,0.0300000000000011,-0.1600000000000037
10.8,2.0,0.875,0.0,5.625,-0.25,-0.75,-0.25,9.0,-1.375,7.0,0.0300000000000011,-0.1400000000000005
10.9,2.125,1.0,-0.125,5.75,0.25,-0.75,-0.25,9.125,-1.375,9.75,0.0399999999999991,-0.1600000000000037
11.0,2.375,1.0,-0.125,5.875,1.125,-0.375,0.0,9.25,-1.375,15.875,0.0300000000000011,-0.1900000000000048
11.1,2.875,1.0,-0.125,6.25,2.625,0.25,0.125,9.625,-1.25,26.375,0.0399999999999991,-0.2000000000000028
11.2,3.5,1.125,0.0,7.125,5.375,1.625,0.375,10.25,-1.0,42.875,0.0300000000000011,-0.1700000000000017
11.3,4.625,1.125,0.0,9.0,10.25,4.125,0.5,11.625,-0.5,66.625,0.0300000000000011,-0.2100000000000008
11.4,6.125,1.125,0.125,12.25,17.5,8.0,0.875,14.625,0.625,99.375,0.0399999999999991,-0.25
11.5,8.25,1.25,0.125,17.5,27.25,13.5,1.375,20.25,2.75,142.75,0.009999999999998,-0.2200000000000059
11.6,11.0,1.25,0.25,25.625,39.0,20.625,1.625,29.75,6.5,195.625,0.0300000000000011,-0.1400000000000005
11.7,14.375,1.375,0.5,37.0,52.875,29.25,2.0,44.75,12.125,257.125,0.0300000000000011,-0.1900000000000048
11.8,18.625,1.5,0.5,52.125,68.75,39.0,2.5,66.375,20.5,327.125,0.0300000000000011,-0.2100000000000008
11.9,23.75,1.75,0.625,71.625,86.875,50.25,2.875,96.375,31.875,406.75,0.0399999999999991,-0.2200000000000059
12.0,29.75,1.875,0.75,95.625,107.25,62.875,3.375,135.375,46.875,494.75,0.0300000000000011,-0.2200000000000059
12.1,36.625,2.25,0.875,124.0,129.375,77.0,3.75,184.5,65.625,589.375,0.009999999999998,-0.2200000000000059
12.2,44.5,2.5,1.0,157.625,154.0,92.625,4.375,245.25,88.5,690.625,0.0399999999999991,-0.2200000000000059
12.3,53.125,2.875,1.25,195.875,180.5,109.375,5.0,316.5,115.125,793.375,0.0300000000000011,-0.1900000000000048
12.4,62.75,3.375,1.25,239.25,209.0,127.5,5.625,399.625,145.375,897.25,0.0300000000000011,-0.2200000000000059
12.5,73.25,3.875,1.375,287.25,239.25,146.625,5.875,493.0,178.625,999.125,0.009999999999998,-0.1900000000000048
12.6,84.5,4.5,1.5,338.75,270.75,166.375,6.625,594.125,214.0,1097.0,0.0300000000000011,-0.1400000000000005
12.7,96.75,5.125,1.625,394.125,303.5,186.875,7.25,703.5,252.0,1191.625,0.0600000000000022,-0.2000000000000028
12.8,109.875,5.75,1.75,452.125,336.75,207.75,7.75,817.75,291.625,1279.75,0.0600000000000022,-0.1400000000000005
12.9,123.5,6.375,1.875,511.125,370.5,228.875,8.125,933.375,332.25,1360.625,0.0399999999999991,-0.1200000000000045
13.0,138.125,7.125,2.0,571.5,405.0,250.375,8.75,1050.25,374.25,1437.625,0.0399999999999991,-0.1000000000000014
13.1,153.5,7.875,2.125,631.75,440.0,272.125,9.25,1164.5,416.5,1509.875,0.0700000000000002,-0.1000000000000014
13.2,169.625,8.625,2.25,690.5,474.75,293.75,9.875,1273.5,458.5,1576.125,0.0600000000000022,0.0
13.3,186.375,9.5,2.5,748.25,509.75,315.75,10.375,1377.75,500.375,1636.375,0.0600000000000022,-0.0200000000000031
