time(s),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Temp,Humid
10.0,5.75,1.5,0.0,7.375,-7.875,-7.5,-0.125,8.375,1.125,-3.875,0.0300000000000011,-0.480000000000004
10.1,5.75,1.625,0.0,7.25,-8.0,-7.625,-0.125,8.25,1.25,-3.875,0.0300000000000011,-0.480000000000004
10.2,5.75,1.625,-0.125,7.0,-8.125,-7.75,0.0,8.25,1.375,-3.75,0.0300000000000011,-0.480000000000004
10.3,5.75,1.625,-0.125,6.75,-8.125,-7.75,0.0,8.125,1.5,-3.75,0.0399999999999991,-0.5200000000000031
10.4,5.875,1.75,-0.25,6.5,-8.25,-7.875,0.125,8.0,1.625,-3.625,0.0399999999999991,-0.5400000000000063
10.5,5.875,1.75,-0.375,6.25,-8.25,-8.0,-0.125,7.875,1.75,-3.5,0.0399999999999991,-0.490000000000002
10.6,5.875,1.875,-0.375,6.0,-8.375,-8.0,-0.125,7.75,1.875,-3.125,0.0399999999999991,-0.5200000000000031
10.7,6.0,1.75,-0.5,5.875,-8.375,-8.0,-0.125,7.625,2.125,-1.75,0.0399999999999991,-0.5200000000000031
10.8,6.125,1.875,-0.5,5.75,-8.25,-8.0,-0.125,7.625,2.25,2.0,0.0399999999999991,-0.5200000000000031
10.9,6.375,1.875,-0.625,5.875,-7.625,-7.625,0.0,7.5,2.375,9.125,0.0300000000000011,-0.490000000000002
11.0,6.875,1.875,-0.625,6.625,-6.375,-6.875,0.0,7.625,2.75,20.75,0.0399999999999991,-0.5800000000000054
11.1,7.875,1.875,-0.625,8.875,-3.5,-5.25,0.25,8.25,3.625,38.375,0.0399999999999991,-0.6200000000000045
11.2,9.375,2.0,-0.625,13.375,1.375,-2.125,0.625,9.875,5.625,63.875,0.0399999999999991,-0.5600000000000023
11.3,11.5,2.125,-0.625,21.25,8.625,2.75,0.625,13.5,9.875,100.375,0.0300000000000011,-0.6099999999999994
11.4,14.5,2.25,-0.625,33.875,18.375,9.5,0.75,20.5,17.75,149.625,0.0600000000000022,-0.5900000000000034
11.5,18.375,2.5,-0.625,52.375,30.375,18.0,1.0,32.375,30.375,214.0,0.0399999999999991,-0.5800000000000054
11.6,23.375,2.625,-0.75,77.875,45.0,28.5,1.375,51.5,48.5,298.5,0.0399999999999991,-0.5600000000000023
11.7,29.625,3.0,-0.75,110.625,62.25,41.0,1.625,79.375,72.5,401.25,0.0399999999999991,-0.5800000000000054
11.8,37.0,3.375,-0.75,150.75,81.75,55.5,2.0,117.0,102.375,516.25,0.0399999999999991,-0.5800000000000054
11.9,45.5,3.875,-0.75,199.125,103.75,72.25,2.5,166.875,139.25,640.75,0.0399999999999991,-0.6200000000000045
12.0,55.5,4.375,-0.75,255.375,127.75,91.125,2.75,230.0,183.625,769.25,0.0300000000000011,-0.5800000000000054
12.1,66.375,5.125,-0.75,318.625,153.375,111.375,3.125,306.375,234.75,897.625,0.0600000000000022,-0.5900000000000034
12.2,78.875,5.875,-0.75,389.25,181.0,133.375,3.5,397.5,293.125,1027.125,0.0300000000000011,-0.5900000000000034
12.3,92.375,6.625,-0.75,465.75,210.625,156.625,4.0,502.625,357.375,1151.75,0.0600000000000022,-0.5300000000000011
12.4,106.875,7.5,-0.75,545.75,241.75,180.75,4.375,619.125,425.0,1266.25,0.0399999999999991,-0.5300000000000011
12.5,122.75,8.375,-0.75,629.25,274.75,206.0,4.875,747.5,496.25,1370.875,0.0300000000000011,-0.5600000000000023
12.6,139.625,9.375,-0.625,714.0,309.25,232.125,5.25,884.125,568.5,1464.875,0.0300000000000011,-0.5200000000000031
12.7,157.375,10.375,-0.75,797.375,344.875,258.125,5.75,1024.625,640.125,1548.25,0.0399999999999991,-0.4600000000000008
12.8,176.25,11.5,-0.75,879.375,382.125,284.5,6.125,1168.5,711.5,1624.125,0.0399999999999991,-0.490000000000002
12.9,196.125,12.625,-0.75,958.0,420.25,310.75,6.5,1310.75,781.25,1692.375,0.0600000000000022,-0.4700000000000059
13.0,216.625,13.875,-0.625,1031.625,458.375,336.625,7.0,1446.125,848.625,1753.5,0.0600000000000022,-0.4600000000000008
13.1,238.125,15.0,-0.625,1101.125,497.0,362.25,7.5,1575.0,914.375,1809.625,0.0300000000000011,-0.3900000000000005
13.2,260.25,16.375,-0.625,1164.625,535.375,387.125,7.875,1692.75,976.875,1859.5,0.0300000000000011,-0.4299999999999997
13.3,283.125,17.625,-0.625,1223.375,573.75,411.75,8.125,1800.25,1037.0,1904.125,0.009999999999998,-0.3700000000000045
13.4,306.5,19.0,-0.625,1276.875,611.625,435.5,8.625,1896.0,1093.875,1943.5,0.0399999999999991,-0.3100000000000023
13.5,330.375,20.375,-0.625,1324.875,648.5,458.25,9.125,1979.625,1147.125,1978.25,0.0300000000000011,-0.3400000000000034
13.6,354.75,21.75,-0.5,1368.625,684.875,480.375,9.5,2053.25,1197.375,2009.875,0.0399999999999991,-0.2800000000000011
13.7,379.75,23.25,-0.625,1408.375,720.25,501.5,9.875,2117.375,1244.5,2038.875,0.009999999999998,-0.240000000000002
13.8,404.75,24.75,-0.5,1443.75,754.125,521.75,10.375,2172.375,1288.0,2065.5,0.0300000000000011,-0.240000000000002
13.9,430.375,26.25,-0.5,1475.875,787.125,541.0,10.75,2220.625,1329.0,2090.125,0.0600000000000022,-0.1900000000000048
14.0,456.25,27.875,-0.375,1505.0,818.625,559.375,11.125,2262.375,1367.125,2112.125,0.0600000000000022,-0.1300000000000025
14.1,482.0,29.375,-0.5,1530.875,848.5,576.75,11.375,2298.25,1402.25,2131.625,0.0300000000000011,-0.1000000000000014
14.2,508.125,31.0,-0.375,1554.625,877.125,593.25,11.875,2329.75,1435.25,2149.25,0.0600000000000022,-0.0700000000000002
14.3,534.375,32.625,-0.375,1576.125,904.125,608.875,12.125,2357.375,1466.0,2165.25,0.0300000000000011,-0.0600000000000022
14.4,560.5,34.375,-0.375,1595.375,929.625,623.375,12.375,2381.375,1494.25,2179.75,0.0600000000000022,-0.0600000000000022
14.5,586.875,36.0,-0.25,1613.125,954.125,637.25,12.875,2402.75,1520.75,2193.375,0.0300000000000011,0.0
14.6,613.0,37.75,-0.25,1629.25,977.125,650.25,13.25,2421.625,1545.125,2205.875,0.0300000000000011,0.0
14.7,639.0,39.5,-0.25,1643.75,998.75,662.25,13.375,2438.125,1567.75,2217.375,0.0399999999999991,0.0899999999999963
14.8,665.0,41.375,-0.125,1657.25,1019.25,673.75,13.875,2453.0,1588.875,2228.0,0.0399999999999991,0.1299999999999954
14.9,690.875,43.125,-0.125,1669.5,1038.375,684.5,14.25,2466.125,1608.375,2237.75,0.009999999999998,0.1299999999999954
15.0,716.125,45.0,-0.125,1680.75,1056.25,694.375,14.5,2477.875,1626.5,2246.625,0.0399999999999991,0.1799999999999997
15.1,741.5,46.875,-0.125,1691.125,1073.125,703.75,14.75,2488.375,1643.5,2254.75,0.0300000000000011,0.2099999999999937
15.2,766.625,48.625,0.0,1700.75,1088.875,712.5,15.25,2497.875,1659.25,2262.375,0.0399999999999991,0.2099999999999937
15.3,791.125,50.625,0.0,1709.5,1103.5,720.5,15.5,2506.25,1674.0,2269.25,0.0399999999999991,0.2999999999999971
15.4,815.5,52.5,0.125,1717.625,1117.125,728.0,16.0,2513.75,1687.625,2275.625,0.0300000000000011,0.3699999999999974
15.5,839.5,54.375,0.25,1725.125,1129.875,735.125,16.125,2520.625,1700.5,2281.625,0.0399999999999991,0.3399999999999963
15.6,862.875,56.375,0.25,1732.0,1141.625,741.5,16.375,2526.75,1712.25,2287.0,0.0300000000000011,0.4299999999999997
15.7,886.125,58.375,0.25,1738.375,1152.625,747.625,16.625,2532.375,1723.375,2292.125,0.0300000000000011,0.4399999999999977
15.8,908.875,60.25,0.375,1744.375,1162.875,753.125,17.125,2537.5,1733.75,2297.0,0.0399999999999991,0.4699999999999988
15.9,930.875,62.375,0.5,1749.75,1172.25,758.25,17.25,2542.125,1743.375,2301.375,0.0399999999999991,0.4599999999999937
16.0,952.75,64.375,0.375,1754.75,1181.125,763.0,17.75,2546.25,1752.375,2305.5,0.0399999999999991,0.519999999999996
16.1,974.125,66.375,0.5,1759.5,1189.25,767.375,17.875,2550.0,1760.875,2309.25,0.0399999999999991,0.529999999999994
16.2,994.75,68.25,0.625,1763.75,1196.625,771.375,18.125,2553.5,1768.625,2312.875,0.009999999999998,0.5700000000000003
16.3,1015.125,70.375,0.75,1767.75,1203.375,775.0,18.25,2556.625,1776.125,2316.125,0.0399999999999991,0.6400000000000006
