time(s),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Temp,Humid
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.125,0.0,0.0,0.25,0.0,0.0,-0.125,0.375,0.125,0.125,0.020000000000003126,-0.03999999999999915
0.2,0.25,0.125,0.125,0.5,0.0,0.0,0.0,0.625,0.375,0.25,0.020000000000003126,0.05000000000000426
0.3,0.375,0.125,0.125,0.75,0.0,-0.125,0.125,1.0,0.375,0.375,0.030000000000001137,-0.00999999999999801
0.4,0.5,0.125,0.125,1.0,-0.125,-0.125,0.125,1.375,0.625,0.5,0.030000000000001137,-0.060000000000002274
0.5,0.625,0.25,0.125,1.25,-0.125,-0.25,0.0,1.625,0.75,0.625,0.030000000000001137,-0.030000000000001137
0.6,0.75,0.125,0.25,1.5,-0.125,-0.375,0.25,2.0,0.875,0.625,0.05000000000000426,0.020000000000003126
0.7,0.875,0.25,0.25,1.75,-0.25,-0.375,0.0,2.25,0.875,0.75,0.030000000000001137,-0.07000000000000028
0.8,1.0,0.25,0.25,2.0,-0.25,-0.5,0.25,2.625,1.0,0.875,0.05000000000000426,-0.03999999999999915
0.9,1.0,0.25,0.375,2.25,-0.375,-0.5,0.25,2.875,1.25,0.875,0.05000000000000426,-0.10000000000000142
1.0,1.125,0.375,0.375,2.5,-0.375,-0.625,0.25,3.125,1.375,1.0,0.05000000000000426,-0.0799999999999983
1.1,1.375,0.375,0.375,2.625,-0.375,-0.625,0.25,3.375,1.5,1.0,0.05000000000000426,-0.10999999999999943
1.2,1.5,0.375,0.375,2.875,-0.5,-0.75,0.375,3.625,1.625,1.125,0.05000000000000426,-0.0799999999999983
1.3,1.5,0.5,0.375,3.125,-0.5,-0.75,0.375,3.875,1.75,1.125,0.05000000000000426,-0.07000000000000028
1.4,1.625,0.375,0.5,3.25,-0.625,-0.875,0.5,4.125,1.75,1.25,0.030000000000001137,-0.10000000000000142
1.5,1.75,0.5,0.5,3.375,-0.625,-0.875,0.5,4.375,2.0,1.25,0.05000000000000426,-0.12999999999999545
1.6,1.875,0.5,0.5,3.625,-0.75,-1.0,0.375,4.625,2.0,1.25,0.030000000000001137,-0.14999999999999858
1.7,2.0,0.5,0.5,3.875,-0.875,-1.125,0.375,4.75,2.125,1.25,0.05000000000000426,-0.10000000000000142
1.8,2.0,0.5,0.5,4.0,-1.0,-1.25,0.375,5.0,2.25,1.25,0.030000000000001137,-0.12999999999999545
1.9,2.125,0.625,0.5,4.25,-1.0,-1.25,0.625,5.375,2.375,1.25,0.05000000000000426,-0.10999999999999943
2.0,2.25,0.625,0.5,4.375,-1.125,-1.375,0.5,5.5,2.5,1.375,0.030000000000001137,-0.12999999999999545
2.1,2.375,0.75,0.625,4.5,-1.125,-1.5,0.625,5.625,2.5,1.25,0.060000000000002274,-0.14000000000000057
2.2,2.5,0.75,0.625,4.75,-1.25,-1.5,0.5,5.875,2.625,1.25,0.030000000000001137,-0.19999999999999574
2.3,2.625,0.75,0.625,4.75,-1.375,-1.625,0.375,6.0,2.625,1.25,0.05000000000000426,-0.19999999999999574
