time(s),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Temp,Humid
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.125,0.125,0.0,-0.125,0.0,0.125,0.125,0.125,-0.01999999999999602,-0.010000000000005116
0.2,0.125,0.0,0.125,0.25,0.0,-0.125,0.0,0.375,0.125,0.25,-0.01999999999999602,0.030000000000001137
0.3,0.0,0.125,0.125,0.375,0.0,-0.125,0.125,0.5,0.25,0.375,0.0,0.030000000000001137
0.4,0.125,0.0,0.125,0.625,-0.125,-0.125,0.0,0.625,0.375,0.5,0.0,-0.010000000000005116
0.5,0.125,0.125,0.125,0.75,0.0,-0.25,0.0,0.75,0.375,0.625,0.0,0.01999999999999602
0.6,0.125,0.0,0.125,0.875,0.0,-0.25,0.125,0.875,0.5,0.625,-0.01999999999999602,0.030000000000001137
0.7,0.125,0.0,0.125,1.0,-0.125,-0.375,0.125,1.0,0.625,0.75,0.00999999999999801,0.00999999999999801
0.8,0.25,0.125,0.125,1.25,-0.125,-0.375,0.0,1.25,0.625,0.875,-0.01999999999999602,-0.010000000000005116
0.9,0.25,0.125,0.125,1.375,-0.125,-0.5,0.125,1.375,0.75,0.875,-0.01999999999999602,-0.010000000000005116
1.0,0.375,0.125,0.125,1.5,-0.125,-0.5,0.125,1.375,0.75,1.0,0.0,0.01999999999999602
1.1,0.375,0.125,0.125,1.75,-0.125,-0.5,0.125,1.625,0.875,1.125,0.00999999999999801,0.03999999999999915
1.2,0.375,0.125,0.125,1.875,-0.125,-0.625,0.0,1.75,1.0,1.25,0.00999999999999801,0.00999999999999801
1.3,0.375,0.125,0.125,2.0,-0.25,-0.625,0.0,1.75,1.0,1.25,-0.01999999999999602,-0.010000000000005116
1.4,0.375,0.25,0.125,2.125,-0.25,-0.75,0.125,2.0,1.0,1.25,0.0,0.0
