time(s),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Temp,Humid
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.25,0.0,0.0,0.375,0.125,0.125,0.125,0.5,0.125,0.5,0.00999999999999801,-0.030000000000001137
0.2,0.25,-0.125,0.0,0.75,0.25,0.25,0.125,1.125,0.375,1.125,0.00999999999999801,0.060000000000002274
0.3,0.375,-0.125,-0.125,1.125,0.625,0.5,0.125,1.625,0.625,1.75,0.03999999999999915,0.05000000000000426
0.4,0.375,-0.125,-0.125,1.5,0.75,0.5,0.125,2.125,0.875,2.375,0.00999999999999801,0.030000000000001137
0.5,0.5,-0.125,-0.125,1.875,0.875,0.75,0.25,2.625,1.125,3.0,0.020000000000003126,0.060000000000002274
0.6,0.625,-0.125,-0.125,2.25,1.125,0.875,0.25,3.25,1.375,3.5,0.00999999999999801,0.03999999999999915
0.7,0.625,-0.125,-0.125,2.625,1.25,1.0,0.125,3.75,1.625,4.125,0.020000000000003126,0.07000000000000028
0.8,0.75,-0.125,0.0,3.125,1.5,1.0,0.375,4.25,1.875,4.75,0.03999999999999915,0.030000000000001137
0.9,0.75,-0.125,0.0,3.5,1.625,1.125,0.125,4.875,2.125,5.375,0.03999999999999915,0.060000000000002274
1.0,0.875,-0.125,-0.125,3.875,1.75,1.25,0.125,5.5,2.375,6.0,0.03999999999999915,0.09000000000000341
1.1,1.0,-0.25,-0.125,4.25,1.875,1.25,0.25,6.0,2.625,6.625,0.00999999999999801,0.060000000000002274
1.2,1.125,-0.125,-0.125,4.75,2.125,1.375,0.375,6.625,2.875,7.125,0.03999999999999915,0.07000000000000028
1.3,1.125,-0.125,0.0,5.125,2.25,1.375,0.25,7.125,3.0,7.75,0.03999999999999915,0.13000000000000256
1.4,1.25,-0.125,-0.125,5.5,2.25,1.5,0.375,7.75,3.25,8.25,0.020000000000003126,0.10000000000000142
1.5,1.375,-0.125,-0.125,5.875,2.375,1.5,0.25,8.25,3.5,8.75,0.020000000000003126,0.12000000000000455
1.6,1.375,-0.25,-0.125,6.25,2.5,1.625,0.25,8.75,3.75,9.375,0.03999999999999915,0.14999999999999858
1.7,1.5,-0.125,-0.125,6.75,2.625,1.625,0.25,9.25,3.875,9.875,0.03999999999999915,0.09000000000000341
1.8,1.5,-0.25,-0.125,7.125,2.75,1.625,0.375,9.875,4.125,10.375,0.03999999999999915,0.12000000000000455
1.9,1.625,-0.25,0.0,7.5,2.75,1.625,0.375,10.375,4.25,10.875,0.03999999999999915,0.12000000000000455
2.0,1.75,-0.25,-0.125,7.875,2.875,1.625,0.375,10.875,4.5,11.375,0.05000000000000426,0.14999999999999858
2.1,1.875,-0.25,0.0,8.25,2.875,1.75,0.375,11.375,4.625,11.75,0.060000000000002274,0.14000000000000057
2.2,1.875,-0.125,0.0,8.625,3.0,1.75,0.25,11.875,4.75,12.25,0.05000000000000426,0.12000000000000455
2.3,2.0,-0.25,-0.125,9.0,3.125,1.75,0.25,12.5,4.875,12.75,0.020000000000003126,0.12000000000000455
2.4,2.125,-0.25,0.0,9.375,3.125,1.75,0.125,12.875,5.125,13.0,0.03999999999999915,0.13000000000000256
2.5,2.125,-0.25,0.0,9.75,3.125,1.75,0.25,13.375,5.125,13.5,0.03999999999999915,0.12000000000000455
2.6,2.25,-0.125,0.0,10.125,3.25,1.75,0.25,13.875,5.375,13.75,0.03999999999999915,0.1600000000000037
2.7,2.375,-0.25,0.0,10.5,3.375,1.75,0.375,14.375,5.375,14.25,0.03999999999999915,0.13000000000000256
2.8,2.375,-0.25,0.0,10.875,3.375,1.75,0.375,14.875,5.625,14.5,0.03999999999999915,0.17999999999999972
2.9,2.5,-0.25,0.0,11.25,3.5,1.75,0.375,15.25,5.75,14.875,0.03999999999999915,0.14999999999999858
3.0,2.625,-0.25,0.0,11.5,3.375,1.625,0.5,15.625,5.875,15.25,0.060000000000002274,0.12000000000000455
3.1,2.625,-0.125,0.0,11.875,3.5,1.625,0.375,16.125,6.0,15.625,0.060000000000002274,0.14000000000000057
3.2,2.75,-0.25,0.0,12.25,3.5,1.75,0.375,16.5,6.125,15.875,0.03999999999999915,0.17999999999999972
3.3,2.875,-0.125,0.0,12.5,3.5,1.625,0.375,16.875,6.25,16.125,0.060000000000002274,0.17999999999999972
3.4,2.875,-0.125,0.0,12.875,3.5,1.625,0.375,17.25,6.375,16.5,0.03999999999999915,0.13000000000000256
3.5,3.0,-0.125,0.0,13.125,3.5,1.625,0.375,17.625,6.5,16.75,0.05000000000000426,0.21000000000000085
3.6,3.125,-0.125,0.0,13.375,3.5,1.625,0.25,18.0,6.5,17.0,0.060000000000002274,0.20000000000000284
3.7,3.125,-0.125,0.0,13.75,3.625,1.625,0.25,18.375,6.75,17.25,0.060000000000002274,0.14999999999999858
3.8,3.125,-0.125,0.0,14.0,3.5,1.625,0.25,18.75,6.875,17.5,0.060000000000002274,0.12000000000000455
3.9,3.375,-0.125,0.0,14.25,3.625,1.625,0.25,19.0,6.875,17.625,0.05000000000000426,0.17999999999999972
4.0,3.375,-0.125,0.0,14.625,3.5,1.625,0.25,19.375,7.0,17.875,0.03999999999999915,0.13000000000000256
4.1,3.375,-0.125,0.0,14.875,3.5,1.625,0.25,19.625,7.0,18.125,0.05000000000000426,0.21000000000000085
4.2,3.375,-0.25,0.0,15.125,3.625,1.5,0.375,20.0,7.125,18.375,0.05000000000000426,0.14999999999999858
4.3,3.5,-0.125,0.0,15.375,3.625,1.625,0.25,20.25,7.25,18.5,0.05000000000000426,0.21000000000000085
4.4,3.625,-0.125,0.0,15.5,3.5,1.5,0.25,20.5,7.25,18.75,0.03999999999999915,0.17999999999999972
4.5,3.625,-0.25,0.0,15.75,3.5,1.5,0.25,20.75,7.375,18.75,0.03999999999999915,0.17999999999999972
4.6,3.75,-0.125,0.0,16.0,3.625,1.5,0.25,21.0,7.375,19.0,0.0799999999999983,0.20000000000000284
4.7,3.75,-0.125,0.0,16.25,3.5,1.5,0.5,21.25,7.375,19.125,0.03999999999999915,0.21000000000000085
4.8,3.875,-0.125,0.0,16.5,3.5,1.5,0.25,21.5,7.5,19.25,0.05000000000000426,0.17999999999999972
4.9,3.875,-0.125,0.0,16.625,3.5,1.5,0.25,21.75,7.5,19.25,0.05000000000000426,0.1700000000000017
