time(s),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Temp,Humid
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.25,0.0,0.125,0.25,0.25,0.125,0.125,-0.00999999999999801,0.03999999999999915
0.2,0.125,0.0,0.0,0.5,0.125,0.125,0.25,0.375,0.25,0.25,0.020000000000003126,0.01999999999999602
0.3,0.125,0.0,0.0,0.75,0.25,0.125,0.25,0.625,0.375,0.5,0.030000000000001137,0.00999999999999801
0.4,0.125,-0.125,0.0,0.875,0.25,0.25,0.125,0.75,0.5,0.625,0.0,0.02999999999999403
0.5,0.25,0.0,0.0,1.125,0.25,0.25,0.25,1.0,0.625,0.75,0.020000000000003126,0.02999999999999403
0.6,0.25,-0.125,0.0,1.375,0.375,0.25,0.25,1.125,0.875,0.875,0.030000000000001137,0.00999999999999801
0.7,0.375,-0.125,0.0,1.625,0.375,0.25,0.375,1.375,1.0,1.0,0.030000000000001137,0.04999999999999716
0.8,0.375,-0.125,0.0,1.875,0.5,0.375,0.125,1.5,1.0,1.125,0.020000000000003126,0.02999999999999403
0.9,0.375,0.0,0.0,2.125,0.5,0.375,0.125,1.75,1.125,1.25,0.020000000000003126,0.04999999999999716
1.0,0.5,0.0,0.0,2.25,0.5,0.25,0.25,1.875,1.25,1.375,0.03999999999999915,0.06999999999999318
1.1,0.5,-0.125,0.0,2.5,0.625,0.375,0.125,2.125,1.375,1.5,0.030000000000001137,0.0799999999999983
1.2,0.625,0.0,0.0,2.75,0.625,0.375,0.125,2.25,1.375,1.75,0.020000000000003126,0.05999999999999517
1.3,0.625,0.0,0.0,2.875,0.625,0.375,0.25,2.5,1.625,1.75,0.03999999999999915,0.10999999999999943
1.4,0.625,0.0,0.0,3.125,0.625,0.375,0.125,2.625,1.625,1.875,0.020000000000003126,0.0799999999999983
1.5,0.75,0.0,0.125,3.25,0.625,0.375,0.5,2.75,1.75,1.875,0.030000000000001137,0.04999999999999716
1.6,0.75,-0.125,0.125,3.5,0.75,0.375,0.125,3.0,1.875,2.0,0.03999999999999915,0.06999999999999318
1.7,0.75,0.0,0.125,3.75,0.75,0.375,0.25,3.0,2.0,2.25,0.030000000000001137,0.04999999999999716
1.8,0.75,0.0,0.125,3.875,0.75,0.375,0.125,3.25,2.0,2.25,0.060000000000002274,0.10999999999999943
1.9,0.875,0.0,0.125,4.125,0.75,0.375,0.25,3.375,2.125,2.375,0.03999999999999915,0.06999999999999318
2.0,0.875,0.0,0.125,4.25,0.75,0.25,0.125,3.5,2.25,2.5,0.03999999999999915,0.11999999999999744
2.1,1.0,0.0,0.125,4.5,0.75,0.375,0.125,3.75,2.375,2.625,0.03999999999999915,0.10999999999999943
2.2,1.0,-0.125,0.125,4.625,0.75,0.375,0.375,3.875,2.5,2.625,0.060000000000002274,0.10999999999999943
2.3,1.0,0.0,0.125,4.875,0.875,0.375,0.25,4.125,2.5,2.75,0.030000000000001137,0.0799999999999983
2.4,1.125,0.0,0.125,5.0,0.75,0.25,0.25,4.125,2.625,2.875,0.030000000000001137,0.10999999999999943
2.5,1.125,0.0,0.125,5.25,0.75,0.25,0.125,4.25,2.75,3.0,0.03999999999999915,0.0799999999999983
2.6,1.25,0.0,0.25,5.5,0.75,0.25,0.375,4.375,2.75,3.0,0.060000000000002274,0.04999999999999716
2.7,1.25,0.0,0.25,5.625,0.875,0.25,0.375,4.625,2.75,3.125,0.03999999999999915,0.04999999999999716
