time(s),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Temp,Humid
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.125,0.0,0.0,0.25,0.0,-0.125,0.125,0.125,0.125,0.125,-0.01999999999999602,-0.00999999999999801
0.2,0.125,0.0,0.125,0.375,0.0,0.0,0.25,0.25,0.125,0.125,0.030000000000001137,0.01999999999999602
0.3,0.125,0.0,0.0,0.5,0.0,0.0,0.125,0.25,0.25,0.25,-0.01999999999999602,-0.030000000000001137
0.4,0.125,0.0,0.125,0.625,0.0,0.0,0.0,0.5,0.25,0.25,0.0,0.0
0.5,0.25,-0.125,0.125,0.75,0.0,-0.125,0.125,0.5,0.375,0.375,0.0,-0.03999999999999915
0.6,0.125,0.0,0.125,0.875,0.0,0.0,0.125,0.625,0.5,0.375,0.030000000000001137,-0.00999999999999801
0.7,0.375,0.0,0.125,1.125,0.0,-0.125,0.0,0.75,0.5,0.375,0.010000000000005116,-0.020000000000003126
0.8,0.25,0.0,0.0,1.25,0.0,-0.125,0.0,0.75,0.625,0.5,0.010000000000005116,-0.00999999999999801
0.9,0.25,0.0,0.0,1.375,0.0,-0.125,0.0,0.875,0.625,0.5,0.0,-0.00999999999999801
1.0,0.375,0.125,0.125,1.5,0.0,-0.25,0.0,1.0,0.75,0.5,0.010000000000005116,-0.03999999999999915
1.1,0.375,0.0,0.125,1.625,0.0,-0.25,0.125,1.125,0.75,0.625,0.010000000000005116,-0.0799999999999983
1.2,0.375,0.0,0.125,1.75,-0.125,-0.25,0.0,1.125,0.875,0.625,-0.01999999999999602,-0.060000000000002274
1.3,0.375,0.0,0.0,1.75,-0.125,-0.25,0.125,1.25,0.875,0.625,0.010000000000005116,-0.020000000000003126
1.4,0.5,0.0,0.125,1.875,-0.125,-0.375,0.125,1.25,1.0,0.625,0.030000000000001137,-0.05000000000000426
1.5,0.5,0.0,0.0,2.0,-0.125,-0.375,0.125,1.375,1.0,0.75,0.010000000000005116,-0.03999999999999915
1.6,0.5,0.0,0.125,2.125,-0.125,-0.375,0.0,1.375,1.0,0.75,0.030000000000001137,-0.00999999999999801
1.7,0.5,0.0,0.125,2.125,-0.25,-0.375,0.25,1.5,1.0,0.75,0.030000000000001137,0.00999999999999801
1.8,0.5,0.125,0.125,2.25,-0.25,-0.5,0.0,1.5,1.0,0.625,0.010000000000005116,-0.020000000000003126
1.9,0.5,0.125,0.125,2.375,-0.375,-0.5,0.125,1.5,1.125,0.75,0.010000000000005116,-0.03999999999999915
2.0,0.625,0.125,0.125,2.5,-0.25,-0.5,0.0,1.625,1.125,0.625,0.030000000000001137,0.01999999999999602
2.1,0.625,0.125,0.125,2.5,-0.375,-0.5,0.25,1.625,1.125,0.625,0.03999999999999915,-0.020000000000003126
2.2,0.625,0.125,0.125,2.625,-0.375,-0.625,0.125,1.75,1.125,0.625,0.010000000000005116,-0.00999999999999801
2.3,0.625,0.125,0.125,2.75,-0.375,-0.625,0.0,1.75,1.125,0.625,0.030000000000001137,-0.03999999999999915
2.4,0.625,0.125,0.125,2.75,-0.5,-0.625,0.0,1.75,1.125,0.625,0.010000000000005116,-0.020000000000003126
2.5,0.625,0.125,0.125,2.875,-0.5,-0.75,0.125,1.75,1.125,0.625,0.0,-0.05000000000000426
2.6,0.625,0.125,0.125,3.0,-0.625,-0.75,0.0,1.75,1.25,0.625,0.010000000000005116,-0.0799999999999983
2.7,0.625,0.125,0.125,3.0,-0.625,-0.75,0.0,1.75,1.25,0.625,0.010000000000005116,0.0
2.8,0.75,0.125,0.125,3.0,-0.625,-0.875,0.0,1.875,1.25,0.625,0.010000000000005116,-0.020000000000003126
2.9,0.75,0.125,0.125,3.0,-0.75,-0.875,0.25,1.875,1.25,0.5,0.030000000000001137,-0.0799999999999983
3.0,0.75,0.125,0.0,3.125,-0.75,-0.875,0.25,1.875,1.25,0.5,0.010000000000005116,-0.0799999999999983
3.1,0.75,0.125,0.0,3.125,-0.875,-1.0,0.25,1.875,1.25,0.5,0.030000000000001137,-0.07000000000000028
3.2,0.75,0.125,0.125,3.125,-0.875,-1.125,0.25,1.875,1.25,0.5,0.030000000000001137,-0.07000000000000028
3.3,0.75,0.125,0.125,3.25,-0.875,-1.0,0.25,1.875,1.25,0.375,0.030000000000001137,-0.10999999999999943
3.4,0.75,0.25,0.125,3.25,-1.0,-1.125,0.125,1.875,1.25,0.375,0.010000000000005116,-0.07000000000000028
3.5,0.75,0.125,0.0,3.25,-1.0,-1.25,0.25,1.875,1.25,0.375,0.030000000000001137,-0.0799999999999983
3.6,0.75,0.125,0.125,3.375,-1.125,-1.25,0.25,1.875,1.25,0.25,0.030000000000001137,-0.0799999999999983
3.7,0.75,0.125,0.125,3.375,-1.125,-1.375,0.125,1.875,1.25,0.25,0.030000000000001137,-0.13000000000000256
3.8,0.75,0.125,0.125,3.375,-1.125,-1.375,0.125,1.875,1.25,0.25,0.030000000000001137,-0.10000000000000142
3.9,0.875,0.125,0.125,3.375,-1.125,-1.375,0.125,1.875,1.25,0.25,0.03999999999999915,-0.0799999999999983
4.0,0.875,0.125,0.0,3.375,-1.25,-1.375,0.125,1.875,1.25,0.125,0.03999999999999915,-0.10000000000000142
4.1,0.875,0.125,0.125,3.375,-1.375,-1.5,0.125,1.875,1.25,0.125,0.030000000000001137,-0.10999999999999943
4.2,0.75,0.125,0.125,3.5,-1.375,-1.625,0.125,1.875,1.25,0.125,0.03999999999999915,-0.10000000000000142
4.3,0.875,0.25,0.125,3.5,-1.375,-1.625,0.0,1.875,1.25,0.0,0.030000000000001137,-0.13000000000000256
4.4,0.75,0.25,0.125,3.5,-1.5,-1.625,0.125,1.75,1.25,0.0,0.03999999999999915,-0.12000000000000455
4.5,0.875,0.25,0.125,3.5,-1.5,-1.75,0.125,1.75,1.125,0.0,0.030000000000001137,-0.13000000000000256
4.6,0.875,0.125,0.0,3.5,-1.5,-1.75,0.0,1.75,1.125,-0.125,0.010000000000005116,-0.14000000000000057
4.7,0.875,0.25,0.0,3.5,-1.625,-1.875,0.0,1.75,1.125,-0.125,0.05000000000000426,-0.14000000000000057
4.8,0.875,0.25,0.125,3.5,-1.625,-1.875,0.0,1.75,1.125,-0.125,0.030000000000001137,-0.14000000000000057
4.9,0.875,0.25,0.0,3.5,-1.75,-1.875,0.125,1.75,1.125,-0.25,0.03999999999999915,-0.12000000000000455
5.0,0.875,0.125,0.0,3.5,-1.75,-2.0,0.0,1.625,1.125,-0.25,0.05000000000000426,-0.14000000000000057
5.1,0.875,0.25,0.0,3.5,-1.875,-2.0,0.125,1.625,1.0,-0.375,0.03999999999999915,-0.17999999999999972
5.2,0.875,0.25,0.125,3.5,-1.875,-2.125,0.0,1.625,1.0,-0.375,0.03999999999999915,-0.1600000000000037
5.3,0.875,0.25,0.0,3.5,-1.875,-2.125,0.25,1.5,1.0,-0.5,0.03999999999999915,-0.1600000000000037
5.4,0.875,0.25,0.125,3.5,-2.0,-2.125,0.0,1.5,1.0,-0.625,0.05000000000000426,-0.12000000000000455
5.5,0.875,0.25,0.125,3.5,-2.0,-2.25,0.125,1.375,1.0,-0.625,0.05000000000000426,-0.14999999999999858
5.6,0.875,0.25,0.0,3.375,-2.125,-2.25,0.125,1.375,0.875,-0.625,0.030000000000001137,-0.1600000000000037
5.7,0.875,0.25,0.125,3.375,-2.125,-2.375,0.125,1.375,0.875,-0.75,0.030000000000001137,-0.1600000000000037
5.8,0.875,0.25,0.125,3.375,-2.25,-2.375,0.0,1.375,0.875,-0.75,0.05000000000000426,-0.1700000000000017
5.9,0.875,0.125,0.125,3.375,-2.25,-2.375,0.25,1.375,0.875,-0.875,0.03999999999999915,-0.240000000000002
6.0,0.75,0.25,0.0,3.25,-2.375,-2.5,0.0,1.25,0.875,-1.0,0.03999999999999915,-0.21000000000000085
6.1,0.875,0.25,0.0,3.25,-2.375,-2.5,-0.125,1.25,0.875,-1.0,0.010000000000005116,-0.25
6.2,0.875,0.25,0.0,3.25,-2.375,-2.5,0.125,1.25,0.75,-1.125,0.05000000000000426,-0.23000000000000398
6.3,0.875,0.375,0.125,3.25,-2.5,-2.625,-0.125,1.125,0.75,-1.125,0.03999999999999915,-0.1700000000000017
6.4,0.875,0.375,0.0,3.25,-2.5,-2.625,0.125,1.125,0.625,-1.25,0.010000000000005116,-0.25
6.5,0.875,0.375,0.0,3.25,-2.5,-2.75,0.0,1.125,0.625,-1.375,0.03999999999999915,-0.2700000000000031
6.6,0.875,0.375,0.0,3.25,-2.5,-2.75,0.0,1.0,0.625,-1.375,0.03999999999999915,-0.21000000000000085
6.7,0.75,0.375,0.0,3.125,-2.625,-2.75,0.0,1.0,0.625,-1.5,0.05000000000000426,-0.240000000000002
6.8,0.75,0.375,0.0,3.125,-2.75,-2.875,0.0,0.875,0.5,-1.5,0.030000000000001137,-0.20000000000000284
6.9,0.75,0.375,0.0,3.0,-2.75,-2.875,0.0,0.875,0.5,-1.625,0.05000000000000426,-0.17999999999999972
7.0,0.75,0.375,0.125,3.0,-2.75,-2.875,-0.125,0.875,0.375,-1.625,0.030000000000001137,-0.23000000000000398
7.1,0.75,0.375,0.0,3.0,-2.75,-2.875,0.125,0.875,0.5,-1.75,0.03999999999999915,-0.21000000000000085
7.2,0.75,0.375,0.0,2.875,-2.75,-2.875,0.0,0.75,0.375,-1.875,0.030000000000001137,-0.240000000000002
7.3,0.75,0.375,0.125,2.875,-2.875,-3.0,0.0,0.75,0.375,-1.875,0.05000000000000426,-0.2700000000000031
7.4,0.75,0.5,0.0,2.875,-3.0,-3.0,0.0,0.625,0.375,-2.0,0.03999999999999915,-0.259999999999998
7.5,0.75,0.375,0.0,2.75,-3.0,-3.125,0.0,0.625,0.25,-2.125,0.030000000000001137,-0.21999999999999886
7.6,0.75,0.375,0.0,2.75,-3.0,-3.125,0.0,0.5,0.25,-2.125,0.03999999999999915,-0.240000000000002
7.7,0.75,0.5,0.0,2.75,-3.0,-3.125,-0.125,0.5,0.125,-2.25,0.03999999999999915,-0.259999999999998
