time(s),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Temp,Humid
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.375,0.125,0.125,0.0,0.625,0.375,0.75,0.0,-0.030000000000001137
0.2,0.125,0.0,0.0,1.0,0.375,0.25,-0.125,1.25,0.75,1.5,0.0,0.03999999999999915
0.3,0.25,0.0,0.0,1.5,0.5,0.375,0.0,2.0,1.125,2.125,0.030000000000001137,0.04999999999999716
0.4,0.375,-0.125,0.0,2.0,0.625,0.375,0.0,2.625,1.5,2.875,0.030000000000001137,0.060000000000002274
0.5,0.5,0.0,0.0,2.5,0.75,0.5,0.0,3.25,1.875,3.5,0.030000000000001137,0.13000000000000256
0.6,0.625,-0.125,0.0,3.0,0.875,0.5,0.125,3.875,2.25,4.25,0.020000000000003126,0.060000000000002274
0.7,0.625,0.0,0.0,3.5,1.0,0.625,0.0,4.5,2.5,4.875,0.020000000000003126,0.09000000000000341
0.8,0.75,-0.125,0.0,4.0,1.125,0.625,0.0,5.125,2.875,5.5,0.030000000000001137,0.07000000000000028
0.9,0.875,0.0,0.0,4.5,1.125,0.625,0.125,5.75,3.25,6.125,0.0,0.03999999999999915
1.0,1.0,0.0,0.0,5.0,1.25,0.75,0.125,6.5,3.5,6.75,0.0,0.10000000000000142
1.1,1.125,0.0,0.0,5.5,1.375,0.75,0.0,7.0,3.875,7.375,0.030000000000001137,0.13000000000000256
1.2,1.25,0.0,0.0,6.0,1.375,0.75,0.25,7.625,4.125,7.875,0.05000000000000426,0.10999999999999943
1.3,1.25,0.0,0.0,6.5,1.5,0.875,0.125,8.25,4.375,8.5,0.020000000000003126,0.11999999999999744
1.4,1.375,0.0,0.0,6.875,1.625,0.875,0.125,8.875,4.75,9.0,0.05000000000000426,0.11999999999999744
1.5,1.5,0.0,0.0,7.5,1.625,0.875,0.125,9.375,5.0,9.625,0.020000000000003126,0.07000000000000028
1.6,1.625,0.0,0.0,7.875,1.75,0.875,0.0,10.0,5.25,10.0,0.030000000000001137,0.09000000000000341
1.7,1.75,0.0,0.0,8.375,1.75,0.875,0.125,10.5,5.625,10.5,0.030000000000001137,0.14999999999999858
1.8,1.75,0.0,0.0,8.75,1.875,0.875,0.125,11.125,5.75,11.0,0.0,0.11999999999999744
1.9,1.875,0.0,0.0,9.25,1.875,0.875,0.125,11.625,6.0,11.5,0.05000000000000426,0.10999999999999943
2.0,2.0,0.0,0.0,9.75,1.875,0.875,0.125,12.125,6.375,11.875,0.05000000000000426,0.10999999999999943
2.1,2.125,0.0,0.0,10.125,1.875,0.875,0.125,12.75,6.5,12.375,0.030000000000001137,0.17999999999999972
2.2,2.25,0.0,0.0,10.5,1.875,0.875,0.0,13.125,6.75,12.75,0.020000000000003126,0.13000000000000256
2.3,2.375,0.0,0.0,10.875,2.125,0.875,0.0,13.625,7.0,13.125,0.030000000000001137,0.09000000000000341
2.4,2.375,0.0,0.0,11.375,2.0,0.875,0.0,14.125,7.25,13.5,0.020000000000003126,0.1599999999999966
2.5,2.5,0.0,0.0,11.75,2.0,0.75,0.0,14.625,7.375,13.875,0.020000000000003126,0.14999999999999858
2.6,2.625,0.0,0.0,12.125,2.0,0.75,0.0,15.125,7.625,14.25,0.030000000000001137,0.13000000000000256
2.7,2.625,0.0,0.0,12.5,2.0,0.75,0.0,15.5,7.875,14.625,0.030000000000001137,0.11999999999999744
2.8,2.75,0.0,0.0,12.875,2.0,0.75,0.0,16.0,8.0,14.875,0.020000000000003126,0.14999999999999858
2.9,2.875,0.0,0.0,13.25,2.0,0.75,0.0,16.375,8.25,15.125,0.030000000000001137,0.11999999999999744
3.0,3.0,0.0,0.0,13.625,1.875,0.75,0.0,16.75,8.5,15.5,0.030000000000001137,0.10999999999999943
3.1,3.125,0.0,0.0,14.0,2.0,0.625,0.0,17.125,8.625,15.75,0.060000000000002274,0.10999999999999943
3.2,3.125,0.125,0.0,14.25,2.0,0.75,0.0,17.625,8.75,16.0,0.05000000000000426,0.14999999999999858
3.3,3.375,0.125,0.0,14.625,1.875,0.625,0.0,18.0,8.875,16.375,0.030000000000001137,0.09000000000000341
3.4,3.5,0.125,0.0,15.0,1.875,0.625,0.0,18.375,9.125,16.5,0.030000000000001137,0.17999999999999972
3.5,3.5,0.125,0.0,15.25,2.0,0.5,0.0,18.75,9.25,16.75,0.030000000000001137,0.1599999999999966
3.6,3.625,0.125,0.0,15.625,1.875,0.625,0.0,19.0,9.5,17.0,0.060000000000002274,0.10999999999999943
3.7,3.625,0.125,0.0,15.875,1.875,0.5,0.0,19.375,9.625,17.25,0.030000000000001137,0.14999999999999858
3.8,3.75,0.25,0.0,16.125,1.875,0.375,0.0,19.75,9.75,17.375,0.05000000000000426,0.09000000000000341
3.9,4.0,0.125,0.0,16.5,1.75,0.375,0.0,20.0,9.875,17.625,0.030000000000001137,0.09000000000000341
4.0,4.0,0.125,0.0,16.75,1.75,0.375,0.0,20.375,10.0,17.75,0.05000000000000426,0.0799999999999983
4.1,4.125,0.25,0.0,17.0,1.75,0.25,0.0,20.75,10.125,18.0,0.05000000000000426,0.10999999999999943
4.2,4.125,0.25,0.0,17.25,1.75,0.25,0.0,21.0,10.25,18.0,0.060000000000002274,0.09000000000000341
4.3,4.25,0.125,0.0,17.375,1.625,0.25,0.125,21.25,10.375,18.25,0.05000000000000426,0.11999999999999744
4.4,4.25,0.25,0.0,17.625,1.625,0.25,0.0,21.625,10.5,18.375,0.030000000000001137,0.13000000000000256
4.5,4.375,0.25,0.0,17.875,1.5,0.125,0.125,21.875,10.625,18.5,0.05000000000000426,0.11999999999999744
4.6,4.5,0.125,0.0,18.125,1.5,0.125,0.25,22.125,10.75,18.625,0.05000000000000426,0.10999999999999943
4.7,4.625,0.25,0.0,18.375,1.5,0.125,0.25,22.25,11.0,18.75,0.030000000000001137,0.09000000000000341
4.8,4.625,0.375,0.0,18.625,1.375,0.0,0.125,22.5,10.875,18.875,0.020000000000003126,0.060000000000002274
4.9,4.75,0.25,0.0,18.875,1.375,0.0,0.125,22.75,11.125,19.0,0.05000000000000426,0.10999999999999943
5.0,4.875,0.375,0.0,19.0,1.375,-0.125,0.125,23.0,11.125,19.125,0.030000000000001137,0.09000000000000341
5.1,5.0,0.25,0.0,19.25,1.25,-0.125,0.125,23.25,11.25,19.125,0.05000000000000426,0.0799999999999983
5.2,5.0,0.25,0.0,19.375,1.25,-0.125,0.125,23.5,11.375,19.25,0.05000000000000426,0.0799999999999983
5.3,5.0,0.375,0.0,19.5,1.25,-0.25,0.125,23.75,11.5,19.25,0.030000000000001137,0.04999999999999716
5.4,5.125,0.5,0.0,19.75,1.125,-0.25,0.125,23.875,11.625,19.375,0.060000000000002274,0.09000000000000341
5.5,5.25,0.375,0.0,19.875,1.125,-0.25,0.0,24.125,11.625,19.5,0.020000000000003126,0.060000000000002274
5.6,5.25,0.375,0.125,20.125,1.125,-0.375,0.125,24.375,11.75,19.5,0.030000000000001137,0.09000000000000341
5.7,5.375,0.375,0.0,20.25,1.0,-0.375,0.125,24.5,11.875,19.5,0.05000000000000426,0.060000000000002274
5.8,5.375,0.375,0.125,20.375,1.0,-0.5,0.125,24.625,11.875,19.5,0.05000000000000426,0.11999999999999744
5.9,5.5,0.375,0.125,20.5,0.875,-0.5,0.125,24.875,12.0,19.625,0.060000000000002274,0.020000000000003126
6.0,5.625,0.5,0.125,20.625,0.875,-0.5,0.125,25.0,12.125,19.625,0.05000000000000426,0.020000000000003126
6.1,5.625,0.5,0.0,20.75,0.875,-0.5,0.125,25.25,12.125,19.75,0.060000000000002274,0.060000000000002274
6.2,5.75,0.5,0.125,20.875,0.75,-0.625,0.125,25.375,12.25,19.75,0.060000000000002274,0.04999999999999716
6.3,5.75,0.5,0.125,21.0,0.75,-0.625,0.125,25.625,12.25,19.75,0.05000000000000426,0.0799999999999983
6.4,5.875,0.5,0.125,21.125,0.75,-0.625,0.125,25.75,12.375,19.75,0.030000000000001137,0.09000000000000341
6.5,5.875,0.5,0.125,21.25,0.625,-0.75,0.125,25.875,12.375,19.75,0.030000000000001137,0.07000000000000028
6.6,6.0,0.625,0.125,21.375,0.625,-0.75,0.0,26.0,12.5,19.75,0.060000000000002274,0.04999999999999716
6.7,6.0,0.625,0.125,21.375,0.5,-0.75,0.125,26.125,12.5,19.75,0.030000000000001137,0.030000000000001137
6.8,6.125,0.625,0.125,21.5,0.5,-0.75,0.0,26.25,12.5,19.75,0.060000000000002274,0.030000000000001137
6.9,6.125,0.5,0.125,21.625,0.375,-0.875,0.0,26.375,12.625,19.75,0.060000000000002274,0.00999999999999801
7.0,6.25,0.625,0.125,21.625,0.375,-0.875,0.125,26.5,12.625,19.625,0.030000000000001137,0.07000000000000028
7.1,6.375,0.625,0.125,21.625,0.375,-0.875,0.125,26.75,12.75,19.625,0.030000000000001137,0.04999999999999716
7.2,6.375,0.625,0.125,21.875,0.25,-1.0,0.0,26.875,12.75,19.625,0.05000000000000426,0.060000000000002274
7.3,6.375,0.625,0.125,21.875,0.25,-1.0,0.125,26.875,12.75,19.625,0.05000000000000426,0.060000000000002274
7.4,6.5,0.75,0.125,21.875,0.25,-1.125,0.125,27.125,12.875,19.625,0.030000000000001137,0.020000000000003126
7.5,6.625,0.625,0.125,21.875,0.125,-1.125,0.0,27.125,12.875,19.5,0.05000000000000426,0.020000000000003126
7.6,6.625,0.625,0.125,22.0,0.125,-1.125,0.125,27.25,13.0,19.5,0.05000000000000426,0.030000000000001137
7.7,6.75,0.75,0.125,22.0,0.0,-1.125,0.0,27.375,13.0,19.5,0.05000000000000426,-0.00999999999999801
7.8,6.75,0.75,0.125,22.0,0.0,-1.25,0.0,27.5,13.0,19.5,0.060000000000002274,-0.00999999999999801
7.9,6.75,0.75,0.125,22.125,0.0,-1.25,0.0,27.625,13.0,19.375,0.05000000000000426,0.020000000000003126
8.0,6.875,0.75,0.125,22.125,0.0,-1.25,0.0,27.75,13.125,19.375,0.05000000000000426,0.0
8.1,7.0,0.75,0.125,22.125,-0.125,-1.25,0.0,27.75,13.125,19.375,0.05000000000000426,0.0
8.2,7.0,0.75,0.125,22.25,-0.125,-1.25,0.0,27.875,13.125,19.375,0.05000000000000426,0.030000000000001137
8.3,7.125,0.75,0.125,22.25,-0.25,-1.375,0.0,28.0,13.25,19.25,0.060000000000002274,0.00999999999999801
8.4,7.125,0.75,0.125,22.25,-0.25,-1.375,0.0,28.125,13.25,19.25,0.0800000000000054,-0.020000000000003126
8.5,7.25,0.75,0.0,22.25,-0.25,-1.375,0.0,28.125,13.25,19.25,0.060000000000002274,0.00999999999999801
8.6,7.25,0.75,0.125,22.25,-0.375,-1.375,0.0,28.25,13.375,19.125,0.05000000000000426,-0.060000000000002274
8.7,7.25,0.75,0.125,22.25,-0.375,-1.5,0.0,28.375,13.25,19.125,0.060000000000002274,0.00999999999999801
8.8,7.375,0.75,0.125,22.375,-0.375,-1.5,0.0,28.375,13.375,19.0,0.05000000000000426,0.0
8.9,7.5,0.75,0.125,22.375,-0.5,-1.5,0.0,28.5,13.375,19.0,0.060000000000002274,0.060000000000002274
9.0,7.375,0.875,0.125,22.375,-0.5,-1.5,0.0,28.5,13.5,18.875,0.060000000000002274,0.00999999999999801
9.1,7.5,0.875,0.125,22.375,-0.625,-1.5,0.0,28.625,13.5,18.875,0.05000000000000426,-0.060000000000002274
9.2,7.625,0.875,0.125,22.375,-0.625,-1.625,0.0,28.75,13.5,18.875,0.05000000000000426,-0.00999999999999801
9.3,7.625,0.75,0.125,22.375,-0.625,-1.5,0.0,28.75,13.5,18.75,0.060000000000002274,-0.030000000000001137
9.4,7.625,0.75,0.125,22.375,-0.75,-1.625,-0.125,28.875,13.625,18.75,0.05000000000000426,0.030000000000001137
9.5,7.75,0.75,0.125,22.375,-0.75,-1.625,0.0,29.0,13.625,18.625,0.05000000000000426,-0.030000000000001137
9.6,7.75,0.875,0.125,22.375,-0.75,-1.625,0.0,29.0,13.625,18.625,0.05000000000000426,-0.03999999999999915
9.7,7.875,0.875,0.25,22.375,-0.75,-1.625,0.0,29.125,13.625,18.625,0.05000000000000426,-0.00999999999999801
9.8,7.875,0.875,0.125,22.375,-0.875,-1.625,0.0,29.125,13.75,18.5,0.05000000000000426,-0.030000000000001137
9.9,7.875,0.875,0.25,22.25,-0.875,-1.625,0.125,29.25,13.625,18.5,0.05000000000000426,-0.030000000000001137
10.0,7.875,0.875,0.125,22.25,-0.875,-1.75,0.0,29.25,13.75,18.375,0.030000000000001137,-0.03999999999999915
10.1,7.875,0.875,0.125,22.25,-1.0,-1.875,0.0,29.375,13.625,18.375,0.030000000000001137,-0.060000000000002274
10.2,8.0,0.875,0.125,22.25,-1.0,-1.875,0.0,29.375,13.625,18.25,0.060000000000002274,-0.030000000000001137
10.3,8.0,0.875,0.125,22.125,-1.0,-2.0,-0.125,29.5,13.75,18.25,0.05000000000000426,-0.07000000000000028
10.4,8.125,0.875,0.0,22.125,-1.125,-2.0,0.0,29.5,13.75,18.125,0.0800000000000054,-0.07000000000000028
10.5,8.0,0.875,0.125,22.125,-1.125,-2.0,0.125,29.5,13.875,18.25,0.05000000000000426,-0.060000000000002274
10.6,8.125,0.875,0.0,22.125,-1.125,-2.0,0.0,29.5,13.875,18.375,0.05000000000000426,-0.07000000000000028
10.7,8.125,0.875,0.0,22.0,-1.125,-2.0,0.125,29.625,13.875,18.875,0.030000000000001137,-0.09000000000000341
10.8,8.25,0.875,0.0,22.0,-1.125,-2.0,0.125,29.75,13.875,20.125,0.060000000000002274,-0.10000000000000142
10.9,8.375,0.875,0.0,22.0,-1.0,-1.875,0.125,29.75,14.0,22.375,0.030000000000001137,-0.09000000000000341
11.0,8.625,0.875,0.125,22.25,-0.5,-1.625,0.125,30.0,14.25,26.25,0.030000000000001137,-0.07000000000000028
11.1,9.0,0.875,0.125,22.5,0.375,-1.0,0.25,30.375,14.625,32.375,0.030000000000001137,-0.09000000000000341
11.2,9.625,0.875,0.0,23.375,1.625,-0.125,0.25,31.125,15.375,40.875,0.05000000000000426,-0.03999999999999915
11.3,10.5,0.875,0.0,24.75,3.5,1.375,0.375,32.625,16.75,52.125,0.030000000000001137,-0.07000000000000028
11.4,11.5,0.875,0.0,27.125,6.125,3.625,0.5,35.125,19.25,66.25,0.030000000000001137,-0.060000000000002274
11.5,13.125,0.875,0.0,30.75,9.5,6.625,0.625,39.125,23.125,83.875,0.060000000000002274,-0.00999999999999801
11.6,14.875,1.0,0.0,35.875,13.75,10.375,0.625,45.125,29.0,106.25,0.060000000000002274,-0.07000000000000028
