time(s),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Temp,Humid
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.125,0.0,0.0,0.25,0.0,0.125,0.0,0.375,0.25,0.25,0.01999999999999602,-0.03999999999999915
0.2,0.125,-0.125,0.0,0.5,0.25,0.25,0.0,0.75,0.375,0.625,0.030000000000001137,-0.00999999999999801
0.3,0.25,-0.125,0.0,0.625,0.375,0.375,0.0,1.0,0.625,0.875,0.01999999999999602,0.0
0.4,0.25,-0.125,0.125,0.875,0.5,0.5,0.125,1.375,0.75,1.125,0.01999999999999602,0.060000000000002274
0.5,0.375,-0.125,0.0,1.125,0.625,0.625,0.125,1.625,1.0,1.5,0.030000000000001137,0.030000000000001137
0.6,0.375,-0.125,0.0,1.375,0.75,0.75,0.0,2.0,1.125,1.875,0.030000000000001137,0.04999999999999716
0.7,0.5,-0.125,0.0,1.625,1.0,0.875,0.125,2.25,1.25,2.125,0.01999999999999602,0.060000000000002274
0.8,0.5,-0.125,0.125,1.875,1.0,1.0,0.125,2.625,1.5,2.375,0.04999999999999716,0.04999999999999716
0.9,0.625,-0.125,0.125,2.0,1.125,1.125,0.125,2.875,1.625,2.625,0.030000000000001137,0.10999999999999943
1.0,0.625,-0.125,0.0,2.25,1.375,1.25,0.125,3.25,1.75,3.0,0.030000000000001137,0.10999999999999943
1.1,0.75,-0.125,0.125,2.5,1.5,1.375,0.0,3.5,1.875,3.375,0.030000000000001137,0.09000000000000341
1.2,0.75,-0.125,0.125,2.75,1.5,1.375,0.125,3.875,2.125,3.5,0.01999999999999602,0.10000000000000142
1.3,0.75,-0.25,0.0,3.0,1.625,1.375,0.0,4.25,2.25,3.75,0.030000000000001137,0.10999999999999943
1.4,0.875,-0.25,0.0,3.125,1.75,1.5,0.125,4.5,2.375,4.0,0.04999999999999716,0.07000000000000028
1.5,0.875,-0.25,0.125,3.5,1.875,1.625,0.125,4.75,2.5,4.25,0.030000000000001137,0.14999999999999858
1.6,1.0,-0.25,0.0,3.625,1.875,1.625,0.0,5.0,2.75,4.5,0.04999999999999716,0.13000000000000256
1.7,1.0,-0.25,0.125,4.0,2.0,1.625,0.125,5.375,2.875,4.875,0.04999999999999716,0.10999999999999943
1.8,1.0,-0.25,0.125,4.125,2.0,1.75,0.0,5.75,3.0,5.0,0.030000000000001137,0.14000000000000057
1.9,1.125,-0.25,0.125,4.375,2.125,1.75,0.0,6.0,3.125,5.25,0.05999999999999517,0.10999999999999943
2.0,1.125,-0.125,0.125,4.625,2.25,1.75,0.0,6.25,3.25,5.5,0.05999999999999517,0.1700000000000017
2.1,1.25,-0.25,0.125,4.875,2.375,1.875,0.0,6.625,3.5,5.75,0.04999999999999716,0.14999999999999858
2.2,1.25,-0.25,0.25,5.125,2.375,1.875,0.125,6.875,3.625,6.0,0.04999999999999716,0.20000000000000284
2.3,1.375,-0.25,0.25,5.375,2.5,1.875,0.125,7.125,3.75,6.125,0.07000000000000028,0.1600000000000037
2.4,1.5,-0.25,0.25,5.625,2.5,1.875,0.125,7.375,3.875,6.375,0.05999999999999517,0.14000000000000057
