time(s),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Temp,Humid
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.125,0.125,0.375,0.125,0.0,0.125,0.5,0.375,0.375,0.00999999999999801,-0.01999999999999602
0.2,0.25,0.0,0.125,0.75,0.25,0.125,0.125,0.875,0.5,0.75,0.01999999999999602,-0.05999999999999517
0.3,0.25,0.125,0.125,1.25,0.375,0.25,0.125,1.375,0.875,1.125,0.00999999999999801,-0.030000000000001137
0.4,0.375,0.125,0.125,1.625,0.5,0.25,0.25,1.625,1.125,1.5,0.0,-0.01999999999999602
0.5,0.375,0.125,0.125,2.0,0.625,0.375,0.125,2.125,1.375,1.75,0.00999999999999801,0.010000000000005116
0.6,0.5,0.125,0.125,2.375,0.625,0.5,0.125,2.5,1.625,2.25,0.03999999999999915,0.030000000000001137
0.7,0.625,0.125,0.125,2.875,0.75,0.5,0.125,2.875,1.875,2.5,0.01999999999999602,0.0
0.8,0.625,0.0,0.125,3.25,0.75,0.625,0.0,3.25,2.125,2.875,0.03999999999999915,0.010000000000005116
0.9,0.75,0.0,0.125,3.5,1.0,0.625,0.125,3.625,2.375,3.25,0.00999999999999801,-0.01999999999999602
1.0,0.875,0.125,0.125,4.0,1.0,0.75,0.125,4.125,2.625,3.5,0.01999999999999602,0.07000000000000028
1.1,0.875,0.0,0.125,4.375,1.0,0.75,0.25,4.5,2.75,3.875,0.03999999999999915,0.03999999999999915
1.2,1.0,0.125,0.125,4.75,1.125,0.75,0.125,4.75,3.0,4.125,0.03999999999999915,0.060000000000002274
1.3,1.125,0.0,0.125,5.125,1.25,0.875,0.25,5.25,3.25,4.5,0.00999999999999801,0.0
1.4,1.25,0.0,0.125,5.5,1.25,0.875,0.5,5.5,3.375,4.75,0.01999999999999602,0.0
1.5,1.375,0.0,0.125,5.875,1.375,0.875,0.25,5.875,3.625,5.0,0.03999999999999915,0.010000000000005116
1.6,1.375,0.0,0.25,6.125,1.375,1.0,0.125,6.25,3.75,5.25,0.01999999999999602,0.030000000000001137
1.7,1.375,0.125,0.25,6.5,1.375,1.0,0.25,6.625,4.0,5.625,0.01999999999999602,0.03999999999999915
1.8,1.5,0.0,0.125,6.875,1.375,1.0,0.375,6.875,4.25,5.75,0.01999999999999602,0.060000000000002274
1.9,1.625,0.0,0.25,7.25,1.5,1.0,0.375,7.25,4.375,6.125,0.01999999999999602,0.030000000000001137
2.0,1.625,0.125,0.25,7.625,1.5,1.0,0.375,7.625,4.5,6.375,0.03999999999999915,0.010000000000005116
2.1,1.75,0.125,0.25,7.875,1.5,1.0,0.375,7.875,4.75,6.5,0.03999999999999915,0.07000000000000028
2.2,1.875,0.0,0.25,8.25,1.5,1.0,0.375,8.25,4.875,6.75,0.03999999999999915,0.060000000000002274
2.3,1.875,0.0,0.25,8.5,1.5,1.0,0.375,8.5,5.0,7.0,0.0,0.030000000000001137
2.4,1.875,0.125,0.375,8.875,1.5,1.0,0.5,8.875,5.125,7.25,0.03999999999999915,0.09000000000000341
2.5,2.0,0.125,0.25,9.25,1.5,1.0,0.25,9.0,5.375,7.375,0.01999999999999602,0.060000000000002274
2.6,2.125,0.125,0.375,9.5,1.5,1.0,0.25,9.375,5.5,7.625,0.03999999999999915,0.07000000000000028
2.7,2.125,0.125,0.375,9.75,1.5,1.0,0.5,9.625,5.625,7.75,0.03999999999999915,0.07000000000000028
2.8,2.125,0.125,0.375,10.0,1.5,1.0,0.375,9.875,5.75,8.0,0.03999999999999915,0.09000000000000341
2.9,2.25,0.0,0.375,10.375,1.5,1.0,0.375,10.125,5.875,8.125,0.03999999999999915,0.07000000000000028
3.0,2.375,0.125,0.375,10.625,1.625,0.875,0.375,10.5,6.0,8.25,0.03999999999999915,0.10000000000000142
3.1,2.5,0.125,0.375,10.875,1.5,0.875,0.125,10.75,6.125,8.375,0.04999999999999716,0.07000000000000028
