time(s),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Temp,Humid
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.125,-0.125,0.125,0.375,0.0,0.0,-0.25,0.375,0.125,0.25,0.04999999999999716,0.0
0.2,0.125,-0.125,0.125,0.75,0.0,0.0,-0.125,0.625,0.25,0.5,0.020000000000003126,-0.03999999999999915
0.3,0.25,-0.125,0.125,1.125,0.0,-0.125,-0.25,1.0,0.375,0.625,0.020000000000003126,-0.00999999999999801
0.4,0.375,-0.125,0.0,1.5,0.0,-0.125,-0.125,1.375,0.5,1.0,0.03999999999999915,0.01999999999999602
0.5,0.5,-0.125,0.125,1.875,0.0,-0.25,-0.125,1.625,0.75,1.125,0.04999999999999716,0.0
0.6,0.5,0.0,0.0,2.25,0.0,-0.25,-0.125,1.875,0.875,1.375,0.020000000000003126,-0.00999999999999801
0.7,0.625,-0.125,0.125,2.625,-0.125,-0.375,-0.125,2.25,1.0,1.5,0.020000000000003126,0.060000000000002274
0.8,0.625,0.0,0.125,2.875,0.0,-0.5,0.0,2.5,1.125,1.625,0.03999999999999915,-0.00999999999999801
0.9,0.75,0.0,0.125,3.25,-0.125,-0.375,0.0,2.75,1.25,1.875,0.04999999999999716,-0.020000000000003126
1.0,0.875,0.0,0.125,3.5,-0.125,-0.5,-0.125,3.0,1.375,2.0,0.03999999999999915,-0.030000000000001137
1.1,0.875,0.0,0.125,3.875,-0.125,-0.625,0.0,3.375,1.5,2.25,0.04999999999999716,0.03999999999999915
1.2,1.0,0.125,0.125,4.125,-0.125,-0.75,0.0,3.5,1.625,2.375,0.020000000000003126,0.01999999999999602
1.3,1.0,0.0,0.125,4.5,-0.25,-0.75,-0.125,3.75,1.75,2.5,0.04999999999999716,-0.020000000000003126
1.4,1.125,0.125,0.125,4.75,-0.25,-0.875,-0.125,4.0,1.875,2.625,0.03999999999999915,0.0
1.5,1.25,0.125,0.125,5.0,-0.25,-1.0,0.0,4.25,2.0,2.75,0.04999999999999716,-0.00999999999999801
1.6,1.25,0.125,0.125,5.25,-0.375,-1.0,0.0,4.5,2.125,2.875,0.0799999999999983,-0.00999999999999801
1.7,1.375,0.125,0.125,5.625,-0.375,-1.125,-0.125,4.75,2.125,3.0,0.04999999999999716,-0.00999999999999801
1.8,1.375,0.125,0.25,5.875,-0.5,-1.25,-0.125,4.875,2.25,3.125,0.04999999999999716,-0.03999999999999915
1.9,1.5,0.125,0.25,6.125,-0.625,-1.25,-0.125,5.125,2.375,3.25,0.07000000000000028,-0.00999999999999801
2.0,1.625,0.125,0.125,6.375,-0.625,-1.375,-0.125,5.375,2.375,3.25,0.0799999999999983,0.01999999999999602
2.1,1.625,0.25,0.125,6.625,-0.625,-1.375,-0.125,5.5,2.5,3.375,0.04999999999999716,-0.020000000000003126
2.2,1.75,0.25,0.125,6.75,-0.75,-1.5,-0.125,5.75,2.625,3.5,0.03999999999999915,-0.07000000000000028
2.3,1.75,0.25,0.125,7.125,-0.875,-1.625,-0.125,5.875,2.75,3.625,0.04999999999999716,-0.07000000000000028
2.4,1.875,0.25,0.125,7.25,-0.875,-1.75,0.0,6.125,2.75,3.625,0.04999999999999716,-0.07000000000000028
2.5,2.0,0.25,0.125,7.5,-1.0,-1.75,-0.125,6.25,2.75,3.75,0.07000000000000028,-0.07000000000000028
2.6,2.0,0.375,0.25,7.75,-1.125,-1.875,-0.125,6.375,2.875,3.875,0.04999999999999716,-0.03999999999999915
2.7,2.0,0.25,0.125,8.0,-1.125,-2.0,-0.125,6.5,3.0,3.875,0.04999999999999716,-0.04999999999999716
2.8,2.125,0.375,0.125,8.125,-1.25,-2.125,-0.125,6.75,3.125,3.875,0.07000000000000028,-0.03999999999999915
2.9,2.125,0.375,0.25,8.375,-1.25,-2.125,-0.125,6.875,3.125,4.0,0.07000000000000028,-0.0799999999999983
3.0,2.25,0.25,0.25,8.5,-1.375,-2.25,0.0,7.0,3.125,4.0,0.07000000000000028,-0.10000000000000142
3.1,2.25,0.375,0.25,8.75,-1.5,-2.375,0.0,7.25,3.25,4.125,0.04999999999999716,-0.04999999999999716
3.2,2.375,0.375,0.25,8.875,-1.625,-2.5,0.0,7.375,3.25,4.125,0.07000000000000028,-0.0799999999999983
3.3,2.375,0.375,0.25,9.125,-1.625,-2.625,0.0,7.375,3.375,4.125,0.07000000000000028,-0.10999999999999943
3.4,2.5,0.375,0.25,9.25,-1.75,-2.75,0.0,7.625,3.375,4.125,0.03999999999999915,-0.10000000000000142
3.5,2.5,0.5,0.25,9.375,-1.875,-2.75,0.0,7.625,3.5,4.125,0.0799999999999983,-0.11999999999999744
3.6,2.5,0.5,0.25,9.5,-1.875,-2.875,-0.125,7.75,3.375,4.125,0.04999999999999716,-0.14000000000000057
3.7,2.625,0.5,0.25,9.625,-2.0,-3.0,0.0,7.875,3.5,4.125,0.04999999999999716,-0.13000000000000256
3.8,2.75,0.5,0.25,9.875,-2.125,-3.0,0.0,8.0,3.5,4.125,0.07000000000000028,-0.1700000000000017
3.9,2.75,0.625,0.25,10.0,-2.25,-3.25,0.0,8.125,3.5,4.125,0.07000000000000028,-0.14000000000000057
4.0,2.875,0.625,0.25,10.125,-2.375,-3.25,-0.125,8.25,3.5,4.125,0.04999999999999716,-0.21999999999999886
4.1,2.875,0.625,0.25,10.25,-2.375,-3.375,-0.125,8.25,3.625,4.125,0.09000000000000341,-0.20000000000000284
4.2,3.0,0.625,0.25,10.375,-2.5,-3.5,0.0,8.375,3.625,4.125,0.07000000000000028,-0.1600000000000037
4.3,3.0,0.75,0.25,10.375,-2.625,-3.625,0.0,8.375,3.625,4.0,0.04999999999999716,-0.20000000000000284
4.4,3.0,0.75,0.25,10.5,-2.75,-3.75,0.0,8.5,3.625,4.125,0.07000000000000028,-0.23000000000000398
4.5,3.125,0.75,0.25,10.625,-2.875,-3.75,0.0,8.625,3.625,4.0,0.07000000000000028,-0.21999999999999886
4.6,3.25,0.875,0.25,10.75,-2.875,-3.875,-0.125,8.625,3.625,4.0,0.04999999999999716,-0.25
4.7,3.25,0.875,0.25,10.75,-3.0,-4.0,-0.125,8.75,3.625,3.875,0.04999999999999716,-0.25
